id,Geographic Area Name,Worked in state of residence,Worked in county of residence,Worked outside county of residence,Worked outside state of residence,Living in a place,Worked in place of residence,Worked outside place of residence,Not living in a place,Living in 12 selected states,Worked in minor civil division of residence,Worked outside minor civil division of residence,Not living in 12 selected states
0500000US51800,"Suffolk city, Virginia",98.4,40.0,58.3,1.6,100.0,40.0,60.0,0.0,N,N,N,N
0500000US53033,"King County, Washington",99.5,93.6,5.9,0.5,97.7,41.7,56.1,2.3,N,N,N,N
0500000US54033,"Harrison County, West Virginia",96.9,83.5,13.4,3.1,53.1,16.4,36.6,46.9,N,N,N,N
0500000US06111,"Ventura County, California",99.7,78.8,20.9,0.3,95.3,34.1,61.2,4.7,N,N,N,N
0500000US09005,"Litchfield County, Connecticut",93.8,52.8,41.0,6.2,43.7,9.9,33.8,56.3,100.0,24.5,75.5,0.0
0500000US09007,"Middlesex County, Connecticut",98.1,46.2,51.9,1.9,48.5,11.6,36.9,51.5,100.0,23.6,76.4,0.0
0500000US12023,"Columbia County, Florida",97.5,72.7,24.8,2.5,26.6,10.4,16.2,73.4,N,N,N,N
0500000US13047,"Catoosa County, Georgia",55.0,32.3,22.7,45.0,27.9,4.3,23.6,72.1,N,N,N,N
0500000US13247,"Rockdale County, Georgia",97.9,39.5,58.3,2.1,19.7,7.1,12.6,80.3,N,N,N,N
0500000US13297,"Walton County, Georgia",98.4,40.4,58.0,1.6,32.1,7.3,24.8,67.9,N,N,N,N
0500000US16005,"Bannock County, Idaho",99.3,88.4,10.8,0.7,89.0,57.2,31.8,11.0,N,N,N,N
0500000US24003,"Anne Arundel County, Maryland",90.6,59.2,31.4,9.4,91.9,16.1,75.8,8.1,N,N,N,N
0500000US28033,"DeSoto County, Mississippi",51.3,46.0,5.3,48.7,79.0,18.9,60.1,21.0,N,N,N,N
0500000US29097,"Jasper County, Missouri",96.0,79.4,16.6,4.0,75.9,33.2,42.7,24.1,N,N,N,N
0500000US30029,"Flathead County, Montana",99.2,98.2,1.0,0.8,54.0,25.2,28.8,46.0,N,N,N,N
0500000US35001,"Bernalillo County, New Mexico",99.4,92.1,7.2,0.6,94.3,71.8,22.5,5.7,N,N,N,N
0500000US36005,"Bronx County, New York",97.9,43.7,54.1,2.1,100.0,90.1,9.9,0.0,100.0,43.7,56.3,0.0
0500000US37019,"Brunswick County, North Carolina",94.5,62.9,31.6,5.5,53.5,14.4,39.1,46.5,N,N,N,N
0500000US37021,"Buncombe County, North Carolina",99.2,90.2,9.0,0.8,51.1,32.6,18.5,48.9,N,N,N,N
0500000US37127,"Nash County, North Carolina",99.8,65.9,33.9,0.2,58.3,31.4,26.9,41.7,N,N,N,N
0500000US37193,"Wilkes County, North Carolina",99.1,71.0,28.1,0.9,27.8,5.1,22.7,72.2,N,N,N,N
0500000US39035,"Cuyahoga County, Ohio",99.4,88.7,10.7,0.6,98.8,26.7,72.1,1.2,N,N,N,N
0500000US39061,"Hamilton County, Ohio",92.5,79.2,13.2,7.5,92.2,26.7,65.5,7.8,N,N,N,N
0500000US39165,"Warren County, Ohio",98.1,45.6,52.5,1.9,51.2,11.4,39.8,48.8,N,N,N,N
0500000US40017,"Canadian County, Oklahoma",99.4,44.3,55.0,0.6,94.8,45.2,49.6,5.2,N,N,N,N
0500000US42029,"Chester County, Pennsylvania",91.6,62.3,29.2,8.4,26.2,3.8,22.4,73.8,100.0,17.4,82.6,0.0
0500000US42077,"Lehigh County, Pennsylvania",97.5,70.9,26.7,2.5,67.8,14.7,53.1,32.2,100.0,20.5,79.5,0.0
0500000US45063,"Lexington County, South Carolina",98.8,61.2,37.7,1.2,41.4,7.5,33.9,58.6,N,N,N,N
0500000US47119,"Maury County, Tennessee",99.8,60.5,39.3,0.2,57.2,22.8,34.4,42.8,N,N,N,N
0500000US47189,"Wilson County, Tennessee",98.1,47.3,50.7,1.9,56.3,18.8,37.5,43.7,N,N,N,N
0500000US48203,"Harrison County, Texas",95.9,59.4,36.6,4.1,41.1,21.4,19.6,58.9,N,N,N,N
0500000US51041,"Chesterfield County, Virginia",99.0,48.0,51.0,1.0,35.3,4.3,31.0,64.7,N,N,N,N
0500000US55131,"Washington County, Wisconsin",99.5,52.1,47.3,0.5,71.8,19.2,52.5,28.2,100.0,23.5,76.5,0.0
0500000US09003,"Hartford County, Connecticut",96.0,84.2,11.8,4.0,60.7,14.7,46.0,39.3,100.0,24.8,75.2,0.0
0500000US12033,"Escambia County, Florida",95.5,89.8,5.6,4.5,73.6,21.9,51.7,26.4,N,N,N,N
0500000US18039,"Elkhart County, Indiana",98.3,86.2,12.1,1.7,53.4,22.8,30.6,46.6,N,N,N,N
0500000US18109,"Morgan County, Indiana",99.6,34.1,65.4,0.4,36.6,9.5,27.1,63.4,N,N,N,N
0500000US19049,"Dallas County, Iowa",99.6,30.6,69.0,0.4,86.0,17.4,68.5,14.0,N,N,N,N
0500000US23011,"Kennebec County, Maine",98.8,78.4,20.4,1.2,44.3,20.9,23.3,55.7,100.0,30.1,69.9,0.0
0500000US26049,"Genesee County, Michigan",99.4,71.2,28.2,0.6,44.1,11.8,32.4,55.9,100.0,20.3,79.7,0.0
0500000US26087,"Lapeer County, Michigan",99.3,43.5,55.7,0.7,21.3,6.0,15.3,78.7,100.0,14.6,85.4,0.0
0500000US26145,"Saginaw County, Michigan",99.1,77.3,21.8,0.9,44.6,10.2,34.3,55.4,100.0,21.9,78.1,0.0
0500000US30013,"Cascade County, Montana",98.0,95.9,2.0,2.0,83.4,65.5,17.9,16.6,N,N,N,N
0500000US32003,"Clark County, Nevada",98.8,98.6,0.2,1.2,98.4,29.9,68.5,1.6,N,N,N,N
0500000US36007,"Broome County, New York",98.9,89.2,9.7,1.1,51.2,13.5,37.7,48.8,100.0,28.9,71.1,0.0
0500000US36027,"Dutchess County, New York",96.9,63.9,33.0,3.1,35.3,6.9,28.4,64.7,100.0,23.5,76.5,0.0
0500000US37023,"Burke County, North Carolina",99.6,61.2,38.3,0.4,39.5,11.6,27.9,60.5,N,N,N,N
0500000US37035,"Catawba County, North Carolina",98.7,77.4,21.2,1.3,59.4,20.4,39.0,40.6,N,N,N,N
0500000US37125,"Moore County, North Carolina",97.2,71.6,25.5,2.8,56.3,16.8,39.5,43.7,N,N,N,N
0500000US39009,"Athens County, Ohio",97.3,85.5,11.8,2.7,58.1,34.7,23.3,41.9,N,N,N,N
0500000US39023,"Clark County, Ohio",99.0,62.8,36.2,1.0,63.6,24.4,39.2,36.4,N,N,N,N
0500000US39099,"Mahoning County, Ohio",97.1,73.5,23.5,2.9,71.3,19.7,51.6,28.7,N,N,N,N
0500000US45051,"Horry County, South Carolina",96.1,92.2,3.9,3.9,44.9,15.3,29.5,55.1,N,N,N,N
0500000US47093,"Knox County, Tennessee",99.2,84.5,14.8,0.8,45.3,30.4,14.9,54.7,N,N,N,N
0500000US51061,"Fauquier County, Virginia",95.4,41.9,53.5,4.6,40.4,7.6,32.8,59.6,N,N,N,N
0500000US72127,"San Juan Municipio, Puerto Rico",99.2,73.6,25.6,0.8,96.7,71.1,25.6,3.3,N,N,N,N
0500000US01069,"Houston County, Alabama",96.2,85.1,11.1,3.8,78.3,52.5,25.8,21.7,N,N,N,N
0500000US06083,"Santa Barbara County, California",99.7,92.1,7.6,0.3,90.0,42.1,47.9,10.0,N,N,N,N
0500000US10003,"New Castle County, Delaware",80.6,78.7,1.9,19.4,46.3,7.9,38.4,53.7,N,N,N,N
0500000US12113,"Santa Rosa County, Florida",96.3,46.4,49.9,3.7,77.7,13.1,64.6,22.3,N,N,N,N
0500000US13295,"Walker County, Georgia",62.5,36.0,26.5,37.5,38.2,5.5,32.7,61.8,N,N,N,N
0500000US20091,"Johnson County, Kansas",78.3,69.4,8.9,21.7,97.8,30.0,67.8,2.2,N,N,N,N
0500000US25017,"Middlesex County, Massachusetts",97.3,66.7,30.6,2.7,73.8,17.9,55.8,26.2,100.0,23.1,76.9,0.0
0500000US25025,"Suffolk County, Massachusetts",99.2,69.3,29.9,0.8,100.0,61.2,38.8,0.0,100.0,61.2,38.8,0.0
0500000US26055,"Grand Traverse County, Michigan",99.3,87.5,11.7,0.7,16.6,8.2,8.4,83.4,100.0,23.8,76.2,0.0
0500000US27137,"St. Louis County, Minnesota",95.2,90.5,4.8,4.8,77.2,45.9,31.3,22.8,100.0,48.5,51.5,0.0
0500000US31153,"Sarpy County, Nebraska",95.5,44.6,51.0,4.5,60.5,12.5,48.0,39.5,N,N,N,N
0500000US33011,"Hillsborough County, New Hampshire",82.8,67.7,15.1,17.2,57.2,22.2,35.0,42.8,100.0,32.3,67.7,0.0
0500000US34017,"Hudson County, New Jersey",64.8,40.8,24.0,35.2,87.6,19.1,68.6,12.4,100.0,21.0,79.0,0.0
0500000US37025,"Cabarrus County, North Carolina",98.1,49.2,48.8,1.9,74.4,23.6,50.8,25.6,N,N,N,N
0500000US38015,"Burleigh County, North Dakota",99.4,85.8,13.6,0.6,81.6,59.7,21.9,18.4,N,N,N,N
0500000US39085,"Lake County, Ohio",99.4,62.7,36.8,0.6,77.8,15.3,62.5,22.2,N,N,N,N
0500000US39153,"Summit County, Ohio",99.3,71.3,28.0,0.7,87.8,25.9,61.9,12.2,N,N,N,N
