Total Population,id,Geographic Area Name,5 to 14 years,15 to 17 years,Under 18 years,18 to 24 years,15 to 44 years,16 years and over,18 years and over,21 years and over,60 years and over,62 years and over,65 years and over,75 years and over,Male - 5 to 14 years,Male - 15 to 17 years,Male - Under 18 years,Male - 18 to 24 years,Male - 15 to 44 years,Male - 16 years and over,Male - 18 years and over,Male - 21 years and over,Male - 60 years and over,Male - 62 years and over,Male - 65 years and over,Male - 75 years and over,Female - Male - 5 to 14 years,Female - Male - 15 to 17 years,Female - Male - Under 18 years,Female - Male - 18 to 24 years,Female - Male - 15 to 44 years,Female - Male - 16 years and over,Female - Male - 18 years and over,Female - Male - 21 years and over,Female - Male - 60 years and over,Female - Male - 62 years and over,Female - Male - 65 years and over,Female - Male - 75 years and over
123707,0500000US48183,"Gregg County, Texas",17899,5125,31716,11931,48659,95713,91991,86939,26516,23153,18974,8026,9015,2270,15360,6181,24133,45533,43665,40410,11685,10262,8204,3112,8884,2855,16356,5750,24526,50180,48326,46529,14831,12891,10770,4914
65711,0500000US48347,"Nacogdoches County, Texas",8497,2617,15350,12179,29105,51893,50361,43748,12798,10819,9550,3846,4372,1128,8187,5788,13603,24697,23944,20886,5896,4961,4396,1661,4125,1489,7163,6391,15502,27196,26417,22862,6902,5858,5154,2185
2084931,0500000US48439,"Tarrant County, Texas",309652,92454,548633,194969,883862,1600241,1536298,1450797,349189,299033,235476,91286,157269,46595,278883,97747,436698,773956,741082,697896,160492,133116,103006,36867,152383,45859,269750,97222,447164,826285,795216,752901,188697,165917,132470,54419
88355,0500000US51069,"Frederick County, Virginia",12243,3790,20659,6566,31986,69962,67696,65275,21271,18559,15161,6357,6629,1874,11024,3371,16262,34972,33729,32458,9671,8725,7122,2871,5614,1916,9635,3195,15724,34990,33967,32817,11600,9834,8039,3486
89147,0500000US55089,"Ozaukee County, Wisconsin",10619,3774,18961,7448,30210,72696,70186,67051,25377,21595,17689,7566,5586,1889,9960,3869,15226,35255,33991,32423,11823,9906,8100,3218,5033,1885,9001,3579,14984,37441,36195,34628,13554,11689,9589,4348
403072,0500000US55133,"Waukesha County, Wisconsin",49067,16777,86697,31863,140486,327449,316375,303151,107405,94508,75079,32341,24868,8979,44706,16313,71151,159027,153469,146517,48490,42279,33236,13081,24199,7798,41991,15550,69335,168422,162906,156634,58915,52229,41843,19260
2450758,0500000US06065,"Riverside County, California",350333,107383,616127,238081,1002319,1907979,1834631,1729923,482864,430696,353025,152346,179294,54404,314558,122099,508636,943764,906995,851954,225118,199716,161202,66847,171039,52979,301569,115982,493683,964215,927636,877969,257746,230980,191823,85499
1937570,0500000US06085,"Santa Clara County, California",238289,70573,423735,164066,828251,1560706,1513835,1447775,369590,324601,261252,115606,122427,36318,217382,86232,435166,789321,765037,728205,169836,147298,116329,48635,115862,34255,206353,77834,393085,771385,748798,719570,199754,177303,144923,66971
549815,0500000US06099,"Stanislaus County, California",85285,24988,148801,52218,227170,418513,401014,377459,101077,89855,72507,29370,43551,12724,76005,26903,115076,204754,196314,184145,45103,40227,31958,12116,41734,12264,72796,25315,112094,213759,204700,193314,55974,49628,40549,17254
167529,0500000US08101,"Pueblo County, Colorado",20635,7248,37486,14961,64477,134639,130043,122286,42778,38343,30832,12920,10593,3613,18995,7487,32521,65350,62809,58621,19736,17402,13778,5322,10042,3635,18491,7474,31956,69289,67234,63665,23042,20941,17054,7598
190865,0500000US12053,"Hernando County, Florida",19600,6560,35153,12586,59154,159657,155712,150949,67787,62500,52643,24604,9842,3207,17403,6387,28993,75899,73991,71910,30866,28534,24206,11223,9758,3353,17750,6199,30161,83758,81721,79039,36921,33966,28437,13381
539630,0500000US12101,"Pasco County, Florida",62141,19276,109471,39066,182563,442985,430159,412902,157556,142909,122134,54751,31777,9724,55221,20201,90337,212858,206609,197048,72151,65638,55835,24733,30364,9552,54250,18865,92226,230127,223550,215854,85405,77271,66299,30018
426718,0500000US12115,"Sarasota County, Florida",34024,11703,60574,24293,107736,374772,366144,355790,189899,178420,157066,77731,18305,5390,31479,13100,53821,176369,172399,166699,88076,82496,71759,35615,15719,6313,29095,11193,53915,198403,193745,189091,101823,95924,85307,42116
128754,0500000US12119,"Sumter County, Florida",5950,1473,9257,3644,20791,120634,119497,117423,84858,81284,73154,31009,2941,509,4296,2108,12989,60151,59824,58308,40088,38119,35207,15677,3009,964,4961,1536,7802,60483,59673,59115,44770,43165,37947,15332
66999,0500000US18011,"Boone County, Indiana",10218,3140,17674,5036,24907,51404,49325,47004,13223,10943,8752,3539,5197,1664,9011,2698,12674,N,24256,22771,6137,5155,3902,1413,5021,1476,8663,2338,12233,N,25069,24233,7086,5788,4850,2126
98266,0500000US26091,"Lenawee County, Michigan",11851,3467,20655,9602,35521,79720,77611,73294,25564,22416,18092,7213,6031,1889,10598,5411,18997,40108,38912,36533,11645,10353,8068,2987,5820,1578,10057,4191,16524,39612,38699,36761,13919,12063,10024,4226
399182,0500000US29183,"St. Charles County, Missouri",53234,16277,92672,33701,155841,316553,306510,291975,86886,77813,59689,24577,27269,8226,47456,16958,78985,153879,149066,142110,39462,34384,26146,10058,25965,8051,45216,16743,76856,162674,157444,149865,47424,43429,33543,14519
66692,0500000US29187,"St. Francois County, Missouri",7811,2734,14116,5072,26109,54740,52576,50421,14902,13428,11343,4760,3974,910,6653,3009,14423,28691,27981,26927,7168,6590,4968,1910,3837,1824,7463,2063,11686,26049,24595,23494,7734,6838,6375,2850
1358343,0500000US36059,"Nassau County, New York",163811,53141,291228,119361,494863,1102592,1067115,1017069,335773,293141,241330,108367,83857,27231,149294,60930,249380,530160,512348,485494,149465,130205,104848,42526,79954,25910,141934,58431,245483,572432,554767,531575,186308,162936,136482,65841
381951,0500000US36071,"Orange County, New York",54610,17540,97252,39459,147784,295914,284699,267856,77277,68651,53391,21478,28276,8956,50373,22633,77246,147296,141656,132092,35084,31335,23532,8594,26334,8584,46879,16826,70538,148618,143043,135764,42193,37316,29859,12884
197683,0500000US37133,"Onslow County, North Carolina",26289,5032,48419,42694,103860,152605,149264,131606,24911,21742,18036,7609,13323,2733,24412,31200,64162,85820,84175,70640,11448,9941,8173,3107,12966,2299,24007,11494,39698,66785,65089,60966,13463,11801,9863,4502
532331,0500000US39113,"Montgomery County, Ohio",64780,20167,117544,48765,202413,428446,414787,393877,130456,115249,95644,41823,33174,10493,61065,24760,100469,203367,196164,184685,56935,49636,40636,16553,31606,9674,56479,24005,101944,225079,218623,209192,73521,65613,55008,25270
514213,0500000US45045,"Greenville County, South Carolina",66691,19741,118030,45527,202286,410763,396183,376953,113382,98965,80987,32581,34075,10302,60803,22468,100591,197117,189540,179942,50898,43973,35559,13507,32616,9439,57227,23059,101695,213646,206643,197011,62484,54992,45428,19074
69087,0500000US47059,"Greene County, Tennessee",7311,2440,13063,6033,24195,57660,56024,52049,20716,17813,14809,6235,3805,1168,6705,3232,12398,28037,27242,25238,9351,7990,6584,2571,3506,1272,6358,2801,11797,29623,28782,26811,11365,9823,8225,3664
226758,0500000US48041,"Brazos County, Texas",26002,7153,46903,58121,126840,185017,179855,151152,28809,26144,20996,8191,13150,4016,24571,30801,66697,93897,90846,76183,13291,12390,9792,3396,12852,3137,22332,27320,60143,91120,89009,74969,15518,13754,11204,4795
222631,0500000US48209,"Hays County, Texas",28079,7857,49928,38678,107762,177260,172703,155941,35109,30584,24844,8878,14352,3585,25310,18767,54311,88471,85778,78481,15680,13599,11234,4029,13727,4272,24618,19911,53451,88789,86925,77460,19429,16985,13610,4849
1150795,0500000US51059,"Fairfax County, Virginia",150479,45530,269098,96425,461732,911606,881697,843688,222650,192935,154639,60558,77095,23156,137678,48880,233159,448122,433095,413342,105375,88725,70761,26264,73384,22374,131420,47545,228573,463484,448602,430346,117275,104210,83878,34294
394855,0500000US12081,"Manatee County, Florida",41795,12298,72457,27377,121042,329783,322398,310774,137168,127080,107787,49673,20942,6205,37429,14063,59856,157706,153855,147211,63310,58414,50086,23262,20853,6093,35028,13314,61186,172077,168543,163563,73858,68666,57701,26411
254149,0500000US13057,"Cherokee County, Georgia",36128,11212,62094,21289,98227,200627,192055,181761,50591,45282,36209,12798,18642,5990,31796,10938,48920,97643,93491,88327,23272,21262,16542,5735,17486,5222,30298,10351,49307,102984,98564,93434,27319,24020,19667,7063
194160,0500000US13215,"Muscogee County, Georgia",27504,7456,48112,19156,82528,150923,146048,137922,38019,31415,26086,10952,14440,3823,24802,9738,41512,72222,69868,65744,16289,13318,10468,3905,13064,3633,23310,9418,41016,78701,76180,72178,21730,18097,15618,7047
200983,0500000US15001,"Hawaii County, Hawaii",24918,6933,43630,14472,68737,162367,157353,151325,58846,52057,42643,15240,12594,2882,21658,7590,33728,79681,77312,74299,28581,25518,20740,7102,12324,4051,21972,6882,35009,82686,80041,77026,30265,26539,21903,8138
169594,0500000US18127,"Porter County, Indiana",21518,6579,37422,16398,64109,136235,132172,125067,39205,34475,27395,10979,10892,3520,19721,8756,32541,66938,64463,60979,18439,16007,12501,4708,10626,3059,17701,7642,31568,69297,67709,64088,20766,18468,14894,6271
98115,0500000US22057,"Lafourche Parish, Louisiana",14119,3522,22982,8499,37110,77660,75133,71323,22897,19817,15537,7109,6922,1857,11235,3334,18214,37313,35953,34623,9879,8354,6531,2650,7197,1665,11747,5165,18896,40347,39180,36700,13018,11463,9006,4459
602495,0500000US24510,"Baltimore city, Maryland",66856,18291,123114,57882,267148,491977,479381,454928,124044,107962,84069,33928,33706,9220,62430,27936,127680,226204,220247,208081,50658,44218,33869,12593,33150,9071,60684,29946,139468,265773,259134,246847,73386,63744,50200,21335
159442,0500000US36083,"Rensselaer County, New York",17469,5595,31179,17061,63742,132146,128263,120608,37660,33797,26557,10550,9325,2906,15992,9215,32653,65075,62774,58337,17413,15468,11847,4159,8144,2689,15187,7846,31089,67071,65489,62271,20247,18329,14710,6391
166614,0500000US37057,"Davidson County, North Carolina",20920,6538,36641,12087,58479,135115,129973,125695,42887,38104,30038,12029,10822,3038,18123,6299,29043,65345,63018,60879,19581,16733,13576,5119,10098,3500,18518,5788,29436,69770,66955,64816,23306,21371,16462,6910
175769,0500000US39089,"Licking County, Ohio",22731,7101,40809,15385,64158,139166,134960,127964,40277,34838,28733,11955,11684,3606,20664,7765,31589,67174,64847,61411,18547,16314,12717,4887,11047,3495,20145,7620,32569,71992,70113,66553,21730,18524,16016,7068
219564,0500000US41029,"Jackson County, Oregon",25123,7741,44571,17064,77014,180233,174993,167736,65130,58597,48689,19652,12904,3342,22385,8497,37761,86268,84226,80861,29218,26889,21920,8377,12219,4399,22186,8567,39253,93965,90767,86875,35912,31708,26769,11275
84501,0500000US42063,"Indiana County, Pennsylvania",8223,2654,14818,14005,33659,71293,69683,61911,22679,20275,16623,7404,4314,1325,7669,7402,17772,35738,34858,31177,10506,9246,7505,2956,3909,1329,7149,6603,15887,35555,34825,30734,12173,11029,9118,4448
200482,0500000US45007,"Anderson County, South Carolina",25371,7939,45426,17933,73692,160267,155056,146595,48417,43767,35930,14499,13293,4162,23786,9212,36085,76305,73557,69286,21685,19801,16015,5848,12078,3777,21640,8721,37607,83962,81499,77309,26732,23966,19915,8651
162124,0500000US48135,"Ector County, Texas",26503,7324,48934,16210,71350,117708,113190,106766,23546,19713,15171,6097,13567,3384,24939,8615,37107,59828,57779,54221,11715,9136,6732,2456,12936,3940,23995,7595,34243,57880,55411,52545,11831,10577,8439,3641
230221,0500000US48423,"Smith County, Texas",31322,9370,56559,22753,89911,179671,173662,164160,52104,45631,37588,15892,16302,5226,29854,11123,43986,85460,81805,76721,22974,20119,16443,6573,15020,4144,26705,11630,45925,94211,91857,87439,29130,25512,21145,9319
92035,0500000US48469,"Victoria County, Texas",13274,4283,23694,8103,35573,70496,68341,64520,20646,18921,14935,6565,6833,1510,11410,3977,16952,33675,32858,31086,9520,8461,6465,2859,6441,2773,12284,4126,18621,36821,35483,33434,11126,10460,8470,3706
103718,0500000US55127,"Walworth County, Wisconsin",12072,4080,21242,12873,40063,84938,82476,76907,24941,22705,18146,7385,6135,1963,11079,6487,20657,42352,41022,37879,11936,10924,8421,3254,5937,2117,10163,6386,19406,42586,41454,39028,13005,11781,9725,4131
63711,0500000US01127,"Walker County, Alabama",7891,2325,13976,4951,22518,50948,49735,47597,15264,13917,12061,4919,4043,1092,7375,2727,11204,24034,23695,22404,6517,6223,5158,1975,3848,1233,6601,2224,11314,26914,26040,25193,8747,7694,6903,2944
272608,0500000US05007,"Benton County, Arkansas",40535,12052,71569,21934,112999,208879,201039,191241,51109,44372,36290,16009,20705,6007,36340,11301,57191,102614,98776,93199,22970,20251,16330,6927,19830,6045,35229,10633,55808,106265,102263,98042,28139,24121,19960,9082
96807,0500000US06101,"Sutter County, California",14271,4059,24983,8107,38066,74492,71824,67911,21337,18537,14863,7116,7256,2245,12653,4172,19176,36321,34977,32899,9715,8319,6562,3223,7015,1814,12330,3935,18890,38171,36847,35012,11622,10218,8301,3893
511868,0500000US08001,"Adams County, Colorado",77295,22374,135775,44846,226304,392240,376093,357371,77551,67694,53109,19782,39169,11572,69280,23225,117347,197978,189074,179090,35662,30968,23590,8206,38126,10802,66495,21621,108957,194262,187019,178281,41889,36726,29519,11576
75027,0500000US12087,"Monroe County, Florida",6115,1792,11243,4891,25175,65257,63784,61600,22772,20400,16972,6110,3235,949,5588,2733,13130,33620,32903,31557,11795,10588,8788,3425,2880,843,5655,2158,12045,31637,30881,30043,10977,9812,8184,2685
1380645,0500000US12095,"Orange County, Florida",170850,50908,305594,144960,626330,1107284,1075051,1011339,240255,205500,164884,64788,87993,25647,156417,70412,311491,538077,521472,487887,107503,91517,72375,26398,82857,25261,149177,74548,314839,569207,553579,523452,132752,113983,92509,38390
145864,0500000US13077,"Coweta County, Georgia",18868,8412,34644,13182,59283,116331,111220,105182,30015,26167,20747,7466,10333,5307,19263,7503,30944,56696,53777,50557,13758,11586,9423,2983,8535,3105,15381,5679,28339,59635,57443,54625,16257,14581,11324,4483
109430,0500000US17099,"LaSalle County, Illinois",13098,4165,23327,8004,39747,89216,86103,82521,28235,25442,20841,9199,6773,2257,11926,4151,20953,44944,43316,41717,13162,11909,9446,3681,6325,1908,11401,3853,18794,44272,42787,40804,15073,13533,11395,5518
225909,0500000US19113,"Linn County, Iowa",29369,8911,52580,20303,88958,179264,173329,164988,48986,43613,36397,15734,15121,4690,27315,10271,44942,87150,84260,79996,22454,20134,15932,6083,14248,4221,25265,10032,44016,92114,89069,84992,26532,23479,20465,9651
67427,0500000US27013,"Blue Earth County, Minnesota",6914,1838,13316,14472,33005,55182,54111,47112,12383,11131,9447,4254,3726,931,6523,6989,16915,27499,26906,23349,5582,5026,4162,1628,3188,907,6793,7483,16090,27683,27205,23763,6801,6105,5285,2626
206650,0500000US28047,"Harrison County, Mississippi",27714,7918,49415,19610,82271,162222,157235,149798,42377,36791,30988,12336,13974,4022,25307,10925,41152,78900,76346,72072,19026,16478,14288,5356,13740,3896,24108,8685,41119,83322,80889,77726,23351,20313,16700,6980
237085,0500000US28049,"Hinds County, Mississippi",32284,9390,56752,26619,99648,187532,180333,167464,48092,42128,33279,13378,16664,4705,28787,12802,46840,85271,81701,75681,20690,17911,13683,4859,15620,4685,27965,13817,52808,102261,98632,91783,27402,24217,19596,8519
224347,0500000US29099,"Jefferson County, Missouri",29503,8877,51654,16381,82899,179131,172693,166575,50470,44783,33824,13005,15404,4484,26338,8572,42049,88549,85241,82015,23541,20831,15500,5573,14099,4393,25316,7809,40850,90582,87452,84560,26929,23952,18324,7432
89786,0500000US33009,"Grafton County, New Hampshire",8195,2572,14376,12431,34773,77523,75410,68447,25182,22053,18635,7629,3971,1324,7068,6230,17426,37709,36681,32691,12143,10223,8771,3441,4224,1248,7308,6201,17347,39814,38729,35756,13039,11830,9864,4188
127939,0500000US36013,"Chautauqua County, New York",14273,4476,25570,12055,45725,105623,102369,96435,35067,31011,25587,11319,7522,2355,13349,6385,23582,52182,50465,47454,15953,14367,11598,4656,6751,2121,12221,5670,22143,53441,51904,48981,19114,16644,13989,6663
379099,0500000US37067,"Forsyth County, North Carolina",49112,14909,86658,37798,147208,302037,292441,273151,83465,73871,60385,24631,25435,7670,44858,18169,70555,140539,135571,127079,36537,31846,25780,9750,23677,7239,41800,19629,76653,161498,156870,146072,46928,42025,34605,14881
205466,0500000US39025,"Clermont County, Ohio",27177,8334,47609,15951,76129,162963,157857,151328,47424,41042,32976,12942,13929,4244,24381,8403,38268,79413,76434,73093,21402,18590,14825,5339,13248,4090,23228,7548,37861,83550,81423,78235,26022,22452,18151,7603
204826,0500000US39041,"Delaware County, Ohio",31477,9957,54159,17378,77801,156814,150667,142156,39972,34230,27578,10641,16090,4813,27719,9180,38403,76423,73302,69197,18444,15296,12298,4313,15387,5144,26440,8198,39398,80391,77365,72959,21528,18934,15280,6328
1310300,0500000US39049,"Franklin County, Ohio",165591,46027,304644,128821,590038,1038679,1005656,947563,231219,199858,157541,62074,84317,23367,155007,63540,293501,500430,484438,455807,102302,85777,67010,24312,81274,22660,149637,65281,296537,538249,521218,491756,128917,114081,90531,37762
179146,0500000US39103,"Medina County, Ohio",22647,7886,40256,12995,63124,143922,138890,132551,43432,39215,32074,13152,11910,4256,21298,6777,32392,70664,67915,64557,19940,18075,14584,5534,10737,3630,18958,6218,30732,73258,70975,67994,23492,21140,17490,7618
106727,0500000US47011,"Bradley County, Tennessee",12679,4371,23230,11320,41515,86193,83497,78084,24126,22053,18022,7514,6953,2352,12553,5445,20563,41218,39850,37187,10409,9493,7807,3005,5726,2019,10677,5875,20952,44975,43647,40897,13717,12560,10215,4509
86976,0500000US48021,"Bastrop County, Texas",12108,4039,22094,8352,32643,67002,64882,61279,19416,16019,12308,4163,6129,2022,11518,4772,16646,33774,32625,30167,9772,8151,5931,1968,5979,2017,10576,3580,15997,33228,32257,31112,9644,7868,6377,2195
362265,0500000US48355,"Nueces County, Texas",49663,14840,88910,35950,150520,283111,273355,256000,74996,65248,52731,20991,25561,7932,46001,17794,76401,137996,133695,125054,34360,30000,23794,8542,24102,6908,42909,18156,74119,145115,139660,130946,40636,35248,28937,12449
201877,0500000US53005,"Benton County, Washington",30691,9298,53999,16768,78865,153104,147878,140457,42090,37303,30082,11893,15117,4500,26590,8479,40121,75574,73401,69347,19571,17691,14106,5176,15574,4798,27409,8289,38744,77530,74477,71110,22519,19612,15976,6717
225685,0500000US53073,"Whatcom County, Washington",25929,6389,44119,32278,95497,186211,181566,167058,54103,48350,39347,15156,12608,3404,22517,15886,48101,91366,88952,81829,25990,22960,18302,6828,13321,2985,21602,16392,47396,94845,92614,85229,28113,25390,21045,8328
71818,0500000US04001,"Apache County, Arizona",11600,3196,19517,7200,27540,54577,52301,48916,15270,13466,10932,4466,5867,1670,10019,3802,14492,26796,25594,23959,7348,6500,4938,1999,5733,1526,9498,3398,13048,27781,26707,24957,7922,6966,5994,2467
209550,0500000US04015,"Mohave County, Arizona",20527,6018,35609,13174,59429,177746,173941,169270,82568,76377,63794,26662,10158,3016,17767,6842,31569,89611,87829,85073,41187,38321,31652,13304,10369,3002,17842,6332,27860,88135,86112,84197,41381,38056,32142,13358
1039073,0500000US04019,"Pima County, Arizona",121124,36858,216294,122288,411019,847376,822779,773418,271445,243731,205547,88274,61849,18140,109784,62099,208936,411843,400483,376153,123771,110695,93110,38504,59275,18718,106510,60189,202083,435533,422296,397265,147674,133036,112437,49770
236961,0500000US05143,"Washington County, Arkansas",31685,9024,57013,35583,111297,186286,179948,162761,39312,32933,26922,10958,15394,4888,28988,17956,56633,92876,89100,81147,18016,14554,11881,4399,16291,4136,28025,17627,54664,93410,90848,81614,21296,18379,15041,6559
446610,0500000US06095,"Solano County, California",55721,16716,99231,38489,177152,357799,347379,332533,101130,86721,70597,27847,28766,8348,51045,20403,90950,177121,171427,163250,46176,38592,31322,11552,26955,8368,48186,18086,86202,180678,175952,169283,54954,48129,39275,16295
702455,0500000US11001,"District of Columbia, District of Columbia",66243,15481,127214,75065,359548,586358,575241,541913,118779,104885,85626,36793,33387,7737,65056,34248,170452,275004,269152,253866,50152,43209,35230,14225,32856,7744,62158,40817,189096,311354,306089,288047,68627,61676,50396,22568
254261,0500000US12109,"St. Johns County, Florida",33390,9860,54889,20501,84479,205592,199372,186770,69765,63166,51740,20152,17220,4791,27942,10706,41673,100091,96493,89812,32761,29954,24442,9249,16170,5069,26947,9795,42806,105501,102879,96958,37004,33212,27298,10903
86081,0500000US16083,"Twin Falls County, Idaho",13063,4493,23536,6971,34237,66234,62545,60026,18365,15958,12925,5630,6875,2436,12576,3750,17081,32841,30794,30029,8094,7181,5677,2433,6188,2057,10960,3221,17156,33393,31751,29997,10271,8777,7248,3197
104712,0500000US17115,"Macon County, Illinois",12948,3930,23097,8732,37904,84164,81615,77355,29854,25870,21167,9486,6575,1965,11809,4297,18176,39664,38470,36210,13756,11423,9365,3830,6373,1965,11288,4435,19728,44500,43145,41145,16098,14447,11802,5656
107386,0500000US18167,"Vigo County, Indiana",11516,3820,21693,16911,46820,88250,85693,78380,23654,21054,17118,7346,6036,2024,11531,8468,24901,44320,43024,39147,10434,8983,7110,2564,5480,1796,10162,8443,21919,43930,42669,39233,13220,12071,10008,4782
93152,0500000US21037,"Campbell County, Kentucky",10305,3588,19403,9766,37977,76020,73749,68942,21340,17875,14825,6148,5302,1882,9859,4301,18275,36430,35147,33396,9522,7949,6562,2273,5003,1706,9544,5465,19702,39590,38602,35546,11818,9926,8263,3875
203112,0500000US22019,"Calcasieu Parish, Louisiana",27789,7795,50285,17339,80134,158015,152827,145972,44633,39644,30465,12085,14045,3709,25211,8891,39186,75659,72873,68768,19495,17513,13251,4882,13744,4086,25074,8448,40948,82356,79954,77204,25138,22131,17214,7203
82764,0500000US22097,"St. Landry Parish, Louisiana",12171,3623,22260,7407,30694,63347,60504,56633,18685,16278,13167,5357,6093,2313,11874,3928,15723,30376,28395,26038,8442,7050,5703,2063,6078,1310,10386,3479,14971,32971,32109,30595,10243,9228,7464,3294
518132,0500000US25023,"Plymouth County, Massachusetts",61593,21378,110245,44969,182509,421771,407887,389092,131153,115888,93606,37561,31829,10657,56624,22713,91738,203377,196082,186589,58685,51978,41291,15186,29764,10721,53621,22256,90771,218394,211805,202503,72468,63910,52315,22375
86983,0500000US29043,"Christian County, Missouri",13325,4166,23133,6315,32609,66749,63850,61087,19592,16644,13424,5430,6612,2404,11769,3326,16437,32428,30892,29555,9334,7602,6189,2416,6713,1762,11364,2989,16172,34321,32958,31532,10258,9042,7235,3014
68700,0500000US30049,"Lewis and Clark County, Montana",8332,2490,14986,5533,24815,55167,53714,51519,17751,15589,12668,4674,4053,1334,7755,2821,12582,27078,26099,25032,8470,7339,5936,2020,4279,1156,7231,2712,12233,28089,27615,26487,9281,8250,6732,2654
69611,0500000US35025,"Lea County, New Mexico",12081,3426,20628,7683,31301,51076,48983,44838,11628,9119,7856,3086,6195,1824,10734,3699,16927,26176,24964,22539,5624,4084,3495,1300,5886,1602,9894,3984,14374,24900,24019,22299,6004,5035,4361,1786
92176,0500000US39157,"Tuscarawas County, Ohio",11567,3843,21059,7442,32966,73525,71117,67846,24751,22610,18027,7975,5631,1789,10372,4179,16544,35541,34443,32568,11064,10154,7836,3117,5936,2054,10687,3263,16422,37984,36674,35278,13687,12456,10191,4858
72679,0500000US40125,"Pottawatomie County, Oklahoma",9740,3048,17153,7083,28248,57492,55526,51886,16970,14488,11821,4678,4706,1534,8371,3462,13681,27132,26242,24553,8001,6698,5328,1983,5034,1514,8782,3621,14567,30360,29284,27333,8969,7790,6493,2695
274118,0500000US45091,"York County, South Carolina",39327,11209,66497,23393,105931,214983,207621,196676,54989,47650,39364,14614,20073,6279,34409,11822,51845,102554,98048,92338,24805,21581,17113,5992,19254,4930,32088,11571,54086,112429,109573,104338,30184,26069,22251,8622
137640,0500000US48441,"Taylor County, Texas",19014,5240,34211,20898,60742,106512,103429,93785,27501,24196,19400,9448,9561,2576,16959,10444,30508,51469,49970,45358,12534,10948,8293,3830,9453,2664,17252,10454,30234,55043,53459,48427,14967,13248,11107,5618
72480,0500000US48471,"Walker County, Texas",6707,1544,10927,15281,35821,62631,61553,53303,13495,11731,9226,3340,3600,792,5934,5616,18616,N,34432,32031,6792,5935,4245,1426,3107,752,4993,9665,17205,N,27121,21272,6703,5796,4981,1914
164572,0500000US50007,"Chittenden County, Vermont",17043,5216,29165,26264,73688,138988,135407,121782,36970,32693,26108,10280,8054,2918,14689,12920,37130,67370,65576,59057,16702,14538,11349,3862,8989,2298,14476,13344,36558,71618,69831,62725,20268,18155,14759,6418
94632,0500000US51740,"Portsmouth city, Virginia",11873,3125,21850,9019,39121,74516,72782,68682,19325,16684,13934,5734,6473,1676,11619,4816,19551,35632,34519,32140,8612,6867,5817,2101,5400,1449,10231,4203,19570,38884,38263,36542,10713,9817,8117,3633
84203,0500000US54107,"Wood County, West Virginia",9977,3032,17812,6268,29049,68417,66391,63983,22270,20035,17190,7309,5066,1578,9111,3026,14330,32723,31652,30263,10416,9323,7637,3001,4911,1454,8701,3242,14719,35694,34739,33720,11854,10712,9553,4308
79115,0500000US56025,"Natrona County, Wyoming",10544,3414,18914,6164,31597,62587,60201,57458,16960,15219,11900,4719,5424,1883,10015,2861,16179,31147,29790,28513,8130,7106,5506,1846,5120,1531,8899,3303,15418,31440,30411,28945,8830,8113,6394,2873
102501,0500000US01055,"Etowah County, Alabama",12371,3531,22032,9100,37123,82575,80469,77369,27509,24397,19632,8113,6018,1802,10814,4789,18304,39031,38016,36361,12270,10683,8411,3143,6353,1729,11218,4311,18819,43544,42453,41008,15239,13714,11221,4970
163941,0500000US01081,"Lee County, Alabama",21020,5020,34795,31493,76993,132509,129146,113550,29162,25145,19887,6552,11141,2106,17947,16612,38153,64204,62885,54278,13008,11086,9011,2767,9879,2914,16848,14881,38840,68305,66261,59272,16154,14059,10876,3785
291538,0500000US02020,"Anchorage Municipality, Alaska",39258,11136,71338,28371,127095,227669,220200,208675,48692,40483,32809,11017,19966,5968,36696,15725,65980,115912,111972,105308,23916,19329,15703,4758,19292,5168,34642,12646,61115,111757,108228,103367,24776,21154,17106,6259
716492,0500000US08031,"Denver County, Colorado",76828,20116,139699,57214,359297,590285,576793,554026,118333,103977,83996,32151,39067,9375,70606,28084,182391,294860,288230,277381,53486,46099,36805,12606,37761,10741,69093,29130,176906,295425,288563,276645,64847,57878,47191,19545
378488,0500000US12021,"Collier County, Florida",36594,11624,64531,25257,109126,321278,313957,303005,149247,139368,122463,62252,18395,5934,32171,14268,56544,157355,153129,147064,69160,65417,58031,29902,18199,5690,32360,10989,52582,163923,160828,155941,80087,73951,64432,32350
2761581,0500000US12086,"Miami-Dade County, Florida",305693,93677,558719,231736,1099096,2265718,2202862,2108300,607283,538252,447968,207818,155526,47305,283661,117646,555672,1087176,1056037,1008240,260585,228912,186077,80780,150167,46372,275058,114090,543424,1178542,1146825,1100060,346698,309340,261891,127038
954670,0500000US18097,"Marion County, Indiana",130267,36004,235211,88207,408634,743414,719459,682667,173672,150319,120092,48841,66354,18096,119989,43047,198955,351117,339160,321783,75662,63925,50476,18496,63913,17908,115222,45160,209679,392297,380299,360884,98010,86394,69616,30345
121436,0500000US20045,"Douglas County, Kansas",12229,3446,21734,28310,64287,101645,99702,86226,20838,18846,15300,6402,5634,1677,10375,14126,32582,50502,49535,43527,9243,8553,7068,2700,6595,1769,11359,14184,31705,51143,50167,42699,11595,10293,8232,3702
139567,0500000US22063,"Livingston Parish, Louisiana",19837,5999,35705,11648,56343,108994,103862,98799,28112,23796,18939,7581,10613,2722,18315,5975,27320,52985,50263,47364,13069,11154,8380,3081,9224,3277,17390,5673,29023,56009,53599,51435,15043,12642,10559,4500
