location_id,location_county,location_state,location_name,population,density,employment_rate,wealth_rate
0500000US15007,Kauai County,Hawaii,"Kauai County, Hawaii",72133,rural,0.645,0.7070000000000001
0500000US16027,Canyon County,Idaho,"Canyon County, Idaho",223499,urban,0.623,0.569
0500000US29189,St. Louis County,Missouri,"St. Louis County, Missouri",996945,urban,0.645,0.48
0500000US30029,Flathead County,Montana,"Flathead County, Montana",102106,rural,0.616,0.676
0500000US22033,East Baton Rouge Parish,Louisiana,"East Baton Rouge Parish, Louisiana",440956,urban,0.65,0.6
0500000US22071,Orleans Parish,Louisiana,"Orleans Parish, Louisiana",391006,urban,0.597,0.71
0500000US24003,Anne Arundel County,Maryland,"Anne Arundel County, Maryland",576031,urban,0.696,0.41300000000000003
0500000US34003,Bergen County,New Jersey,"Bergen County, New Jersey",936692,urban,0.664,0.45400000000000007
0500000US34007,Camden County,New Jersey,"Camden County, New Jersey",507078,urban,0.6509999999999999,0.581
0500000US34013,Essex County,New Jersey,"Essex County, New Jersey",799767,urban,0.665,0.5429999999999999
0500000US34023,Middlesex County,New Jersey,"Middlesex County, New Jersey",829685,urban,0.65,0.7879999999999999
0500000US34041,Warren County,New Jersey,"Warren County, New Jersey",105779,urban,0.669,0.3550000000000001
0500000US36013,Chautauqua County,New York,"Chautauqua County, New York",127939,rural,0.5760000000000001,0.5260000000000001
0500000US36029,Erie County,New York,"Erie County, New York",919719,urban,0.62,0.65
0500000US36045,Jefferson County,New York,"Jefferson County, New York",111755,rural,0.631,0.62
0500000US36047,Kings County,New York,"Kings County, New York",2582830,urban,0.635,0.7020000000000001
0500000US36053,Madison County,New York,"Madison County, New York",70795,urban,0.609,0.579
0500000US36065,Oneida County,New York,"Oneida County, New York",229577,urban,0.573,0.485
0500000US36081,Queens County,New York,"Queens County, New York",2278906,urban,0.643,0.5880000000000001
0500000US36091,Saratoga County,New York,"Saratoga County, New York",230163,urban,0.679,0.5619999999999999
0500000US37027,Caldwell County,North Carolina,"Caldwell County, North Carolina",82029,urban,0.595,0.611
0500000US37049,Craven County,North Carolina,"Craven County, North Carolina",102912,rural,0.5589999999999999,0.45400000000000007
0500000US37069,Franklin County,North Carolina,"Franklin County, North Carolina",67560,urban,,0.6409999999999999
0500000US37127,Nash County,North Carolina,"Nash County, North Carolina",94016,rural,0.624,0.764
0500000US38017,Cass County,North Dakota,"Cass County, North Dakota",181516,rural,0.743,0.671
0500000US39035,Cuyahoga County,Ohio,"Cuyahoga County, Ohio",1243857,urban,0.632,0.563
0500000US39043,Erie County,Ohio,"Erie County, Ohio",74615,rural,0.605,0.687
0500000US48141,El Paso County,Texas,"El Paso County, Texas",840758,urban,0.624,0.507
0500000US48167,Galveston County,Texas,"Galveston County, Texas",337890,urban,0.653,0.611
0500000US48213,Henderson County,Texas,"Henderson County, Texas",82299,rural,0.478,0.4810000000000001
0500000US48245,Jefferson County,Texas,"Jefferson County, Texas",255001,urban,0.547,0.5479999999999999
0500000US48347,Nacogdoches County,Texas,"Nacogdoches County, Texas",65711,rural,0.545,0.477
0500000US48361,Orange County,Texas,"Orange County, Texas",83572,urban,0.615,0.752
0500000US48423,Smith County,Texas,"Smith County, Texas",230221,rural,0.617,0.6829999999999999
0500000US48471,Walker County,Texas,"Walker County, Texas",72480,rural,,0.748
0500000US49011,Davis County,Utah,"Davis County, Utah",351713,urban,0.6859999999999999,0.6920000000000001
0500000US40145,Wagoner County,Oklahoma,"Wagoner County, Oklahoma",80110,urban,0.621,0.545
0500000US41005,Clackamas County,Oregon,"Clackamas County, Oregon",416075,urban,0.645,0.513
0500000US41033,Josephine County,Oregon,"Josephine County, Oregon",87393,rural,0.483,0.753
0500000US41035,Klamath County,Oregon,"Klamath County, Oregon",67653,rural,0.527,0.659
0500000US41039,Lane County,Oregon,"Lane County, Oregon",379611,urban,0.595,0.47200000000000003
0500000US41043,Linn County,Oregon,"Linn County, Oregon",127335,rural,0.581,0.679
0500000US41051,Multnomah County,Oregon,"Multnomah County, Oregon",811880,urban,0.701,0.595
0500000US42005,Armstrong County,Pennsylvania,"Armstrong County, Pennsylvania",65263,urban,0.5770000000000001,0.4670000000000001
0500000US42029,Chester County,Pennsylvania,"Chester County, Pennsylvania",522046,urban,0.691,0.43799999999999994
0500000US42091,Montgomery County,Pennsylvania,"Montgomery County, Pennsylvania",828604,urban,0.6829999999999999,0.55
0500000US42111,Somerset County,Pennsylvania,"Somerset County, Pennsylvania",73952,rural,0.537,0.6510000000000001
0500000US45019,Charleston County,South Carolina,"Charleston County, South Carolina",405905,urban,0.6509999999999999,0.48400000000000004
0500000US45063,Lexington County,South Carolina,"Lexington County, South Carolina",295032,urban,0.6409999999999999,0.48300000000000004
0500000US45077,Pickens County,South Carolina,"Pickens County, South Carolina",124937,urban,0.581,0.508
0500000US45091,York County,South Carolina,"York County, South Carolina",274118,urban,0.665,0.609
0500000US47001,Anderson County,Tennessee,"Anderson County, Tennessee",76482,urban,0.557,0.504
0500000US47149,Rutherford County,Tennessee,"Rutherford County, Tennessee",324890,urban,0.722,0.5569999999999999
0500000US25001,Barnstable County,Massachusetts,"Barnstable County, Massachusetts",213413,rural,0.594,0.504
0500000US25013,Hampden County,Massachusetts,"Hampden County, Massachusetts",470406,urban,0.588,0.425
0500000US25025,Suffolk County,Massachusetts,"Suffolk County, Massachusetts",807252,urban,0.6890000000000001,0.452
0500000US26115,Monroe County,Michigan,"Monroe County, Michigan",150439,rural,0.609,0.5710000000000001
0500000US13313,Whitfield County,Georgia,"Whitfield County, Georgia",104062,rural,0.632,0.517
0500000US15001,Hawaii County,Hawaii,"Hawaii County, Hawaii",200983,rural,0.59,0.67
0500000US15009,Maui County,Hawaii,"Maui County, Hawaii",167218,rural,0.66,0.731
0500000US16083,Twin Falls County,Idaho,"Twin Falls County, Idaho",86081,rural,0.623,0.649
0500000US17031,Cook County,Illinois,"Cook County, Illinois",5180493,urban,0.6629999999999999,0.7490000000000001
0500000US49035,Salt Lake County,Utah,"Salt Lake County, Utah",1152633,urban,0.711,0.7719999999999999
0500000US49049,Utah County,Utah,"Utah County, Utah",622213,urban,0.6890000000000001,0.6
0500000US51015,Augusta County,Virginia,"Augusta County, Virginia",75457,rural,0.58,0.797
0500000US51069,Frederick County,Virginia,"Frederick County, Virginia",88355,rural,0.6559999999999999,0.63
0500000US51085,Hanover County,Virginia,"Hanover County, Virginia",107239,urban,0.66,0.7140000000000001
0500000US51161,Roanoke County,Virginia,"Roanoke County, Virginia",94073,urban,0.612,0.6190000000000001
0500000US51177,Spotsylvania County,Virginia,"Spotsylvania County, Virginia",134238,urban,0.682,0.5770000000000001
0500000US51199,York County,Virginia,"York County, Virginia",67846,urban,0.6629999999999999,0.6349999999999999
0500000US53005,Benton County,Washington,"Benton County, Washington",201877,urban,0.613,0.536
0500000US53007,Chelan County,Washington,"Chelan County, Washington",77036,rural,,0.557
0500000US53009,Clallam County,Washington,"Clallam County, Washington",76737,rural,0.505,0.491
0500000US53015,Cowlitz County,Washington,"Cowlitz County, Washington",108987,rural,0.5870000000000001,0.66
0500000US53025,Grant County,Washington,"Grant County, Washington",97331,rural,0.627,0.591
0500000US06045,Mendocino County,California,"Mendocino County, California",87606,rural,0.584,0.552
0500000US24033,Prince George's County,Maryland,"Prince George's County, Maryland",909308,urban,0.7170000000000001,0.524
0500000US24043,Washington County,Maryland,"Washington County, Maryland",150926,urban,0.598,0.551
0500000US25017,Middlesex County,Massachusetts,"Middlesex County, Massachusetts",1614714,urban,0.6970000000000001,0.8190000000000001
0500000US26099,Macomb County,Michigan,"Macomb County, Michigan",874759,urban,0.644,0.483
0500000US26103,Marquette County,Michigan,"Marquette County, Michigan",66516,rural,0.591,0.7490000000000001
0500000US26147,St. Clair County,Michigan,"St. Clair County, Michigan",159337,urban,0.614,0.615
0500000US26163,Wayne County,Michigan,"Wayne County, Michigan",1753893,urban,0.591,0.7290000000000001
0500000US27053,Hennepin County,Minnesota,"Hennepin County, Minnesota",1259428,urban,0.727,0.496
0500000US27139,Scott County,Minnesota,"Scott County, Minnesota",147381,urban,0.748,0.5499999999999999
0500000US27163,Washington County,Minnesota,"Washington County, Minnesota",259201,urban,0.7140000000000001,0.7389999999999999
0500000US28033,DeSoto County,Mississippi,"DeSoto County, Mississippi",182001,urban,0.6940000000000001,0.6459999999999999
0500000US28075,Lauderdale County,Mississippi,"Lauderdale County, Mississippi",75317,rural,0.547,0.342
0500000US29031,Cape Girardeau County,Missouri,"Cape Girardeau County, Missouri",78753,rural,0.6629999999999999,0.535
0500000US17161,Rock Island County,Illinois,"Rock Island County, Illinois",143477,urban,0.627,0.6709999999999999
0500000US18035,Delaware County,Indiana,"Delaware County, Indiana",114772,rural,0.601,0.565
0500000US18067,Howard County,Indiana,"Howard County, Indiana",82366,rural,0.602,0.667
0500000US05007,Benton County,Arkansas,"Benton County, Arkansas",272608,urban,0.6729999999999999,0.562
0500000US05045,Faulkner County,Arkansas,"Faulkner County, Arkansas",124806,urban,0.612,0.24100000000000002
0500000US13051,Chatham County,Georgia,"Chatham County, Georgia",289195,urban,0.66,0.214
0500000US13077,Coweta County,Georgia,"Coweta County, Georgia",145864,urban,0.633,0.483
0500000US13139,Hall County,Georgia,"Hall County, Georgia",202148,rural,0.633,0.5830000000000001
0500000US13157,Jackson County,Georgia,"Jackson County, Georgia",70422,rural,0.652,0.6629999999999999
0500000US13185,Lowndes County,Georgia,"Lowndes County, Georgia",116321,rural,0.563,0.6679999999999999
0500000US13217,Newton County,Georgia,"Newton County, Georgia",109541,urban,0.614,0.541
0500000US13245,Richmond County,Georgia,"Richmond County, Georgia",201554,urban,0.612,0.5619999999999999
0500000US23031,York County,Maine,"York County, Maine",206229,urban,0.66,0.53
0500000US24001,Allegany County,Maryland,"Allegany County, Maryland",70975,rural,0.539,0.7170000000000001
0500000US24005,Baltimore County,Maryland,"Baltimore County, Maryland",828431,urban,0.659,0.508
0500000US24017,Charles County,Maryland,"Charles County, Maryland",161503,urban,0.672,0.617
0500000US24021,Frederick County,Maryland,"Frederick County, Maryland",255648,urban,0.691,0.82
0500000US24031,Montgomery County,Maryland,"Montgomery County, Maryland",1052567,urban,0.7170000000000001,0.787
0500000US24045,Wicomico County,Maryland,"Wicomico County, Maryland",103195,urban,0.619,0.672
0500000US29183,St. Charles County,Missouri,"St. Charles County, Missouri",399182,urban,0.6859999999999999,0.498
0500000US30013,Cascade County,Montana,"Cascade County, Montana",81643,rural,0.621,0.447
0500000US30031,Gallatin County,Montana,"Gallatin County, Montana",111876,rural,0.726,0.589
0500000US30049,Lewis and Clark County,Montana,"Lewis and Clark County, Montana",68700,rural,0.6679999999999999,0.68
0500000US32003,Clark County,Nevada,"Clark County, Nevada",2231647,urban,0.639,0.5730000000000001
0500000US33015,Rockingham County,New Hampshire,"Rockingham County, New Hampshire",309176,urban,0.695,0.606
0500000US33017,Strafford County,New Hampshire,"Strafford County, New Hampshire",130090,urban,0.675,0.534
0500000US34001,Atlantic County,New Jersey,"Atlantic County, New Jersey",265429,urban,0.649,0.43099999999999994
0500000US34005,Burlington County,New Jersey,"Burlington County, New Jersey",445384,urban,0.659,0.49
0500000US34015,Gloucester County,New Jersey,"Gloucester County, New Jersey",291408,urban,0.6629999999999999,0.518
0500000US34019,Hunterdon County,New Jersey,"Hunterdon County, New Jersey",124714,urban,0.6459999999999999,0.655
0500000US34021,Mercer County,New Jersey,"Mercer County, New Jersey",369811,urban,0.657,0.7440000000000001
0500000US34025,Monmouth County,New Jersey,"Monmouth County, New Jersey",621354,urban,0.664,0.47600000000000003
0500000US34029,Ocean County,New Jersey,"Ocean County, New Jersey",601651,urban,0.585,0.705
0500000US34035,Somerset County,New Jersey,"Somerset County, New Jersey",331164,urban,0.679,0.6730000000000002
0500000US22045,Iberia Parish,Louisiana,"Iberia Parish, Louisiana",70941,urban,0.609,0.7170000000000001
0500000US22055,Lafayette Parish,Louisiana,"Lafayette Parish, Louisiana",242782,urban,0.6459999999999999,0.4850000000000001
0500000US06055,Napa County,California,"Napa County, California",139417,rural,0.64,0.572
0500000US06059,Orange County,California,"Orange County, California",3185968,urban,0.655,0.6109999999999999
0500000US06073,San Diego County,California,"San Diego County, California",3343364,urban,0.659,0.625
0500000US06079,San Luis Obispo County,California,"San Luis Obispo County, California",284010,urban,0.568,0.506
0500000US06083,Santa Barbara County,California,"Santa Barbara County, California",446527,urban,0.63,0.786
0500000US06097,Sonoma County,California,"Sonoma County, California",499942,urban,0.66,0.6199999999999999
0500000US06101,Sutter County,California,"Sutter County, California",96807,rural,0.598,0.45899999999999996
0500000US06107,Tulare County,California,"Tulare County, California",465861,urban,0.6,0.54
0500000US06113,Yolo County,California,"Yolo County, California",220408,urban,0.586,0.511
0500000US08031,Denver County,Colorado,"Denver County, Colorado",716492,urban,0.737,0.40700000000000003
0500000US01049,DeKalb County,Alabama,"DeKalb County, Alabama",71385,rural,0.535,0.597
0500000US01095,Marshall County,Alabama,"Marshall County, Alabama",96109,rural,0.569,0.542
0500000US01101,Montgomery County,Alabama,"Montgomery County, Alabama",225763,urban,0.589,0.5169999999999999
0500000US01115,St. Clair County,Alabama,"St. Clair County, Alabama",88690,urban,0.569,0.4210000000000001
0500000US02090,Fairbanks North Star Borough,Alaska,"Fairbanks North Star Borough, Alaska",98971,rural,0.715,0.498
0500000US04005,Coconino County,Arizona,"Coconino County, Arizona",142854,rural,0.616,0.556
0500000US04013,Maricopa County,Arizona,"Maricopa County, Arizona",4410824,urban,0.6459999999999999,0.7560000000000001
0500000US54039,Kanawha County,West Virginia,"Kanawha County, West Virginia",180454,rural,0.537,0.679
0500000US54107,Wood County,West Virginia,"Wood County, West Virginia",84203,rural,0.5529999999999999,0.772
0500000US12086,Miami-Dade County,Florida,"Miami-Dade County, Florida",2761581,urban,0.636,0.578
0500000US12097,Osceola County,Florida,"Osceola County, Florida",367990,urban,0.6459999999999999,0.58
0500000US13021,Bibb County,Georgia,"Bibb County, Georgia",153095,rural,0.5820000000000001,0.5389999999999999
0500000US40027,Cleveland County,Oklahoma,"Cleveland County, Oklahoma",281669,urban,0.657,0.6890000000000001
0500000US40125,Pottawatomie County,Oklahoma,"Pottawatomie County, Oklahoma",72679,rural,0.544,0.507
0500000US40143,Tulsa County,Oklahoma,"Tulsa County, Oklahoma",648360,urban,0.657,0.7219999999999999
0500000US27013,Blue Earth County,Minnesota,"Blue Earth County, Minnesota",67427,rural,0.7140000000000001,0.674
0500000US27171,Wright County,Minnesota,"Wright County, Minnesota",136349,urban,0.738,0.643
0500000US28121,Rankin County,Mississippi,"Rankin County, Mississippi",153902,urban,0.645,0.5100000000000001
0500000US35045,San Juan County,New Mexico,"San Juan County, New Mexico",125043,rural,0.527,0.59
0500000US36103,Suffolk County,New York,"Suffolk County, New York",1481093,urban,0.644,0.648
0500000US36105,Sullivan County,New York,"Sullivan County, New York",75498,rural,0.556,0.7360000000000001
0500000US36119,Westchester County,New York,"Westchester County, New York",967612,urban,0.654,0.512
0500000US37023,Burke County,North Carolina,"Burke County, North Carolina",90382,urban,0.586,0.48200000000000004
0500000US37037,Chatham County,North Carolina,"Chatham County, North Carolina",73139,urban,,0.6140000000000001
0500000US37057,Davidson County,North Carolina,"Davidson County, North Carolina",166614,urban,0.591,0.48700000000000004
0500000US37085,Harnett County,North Carolina,"Harnett County, North Carolina",134214,rural,0.5770000000000001,0.499
0500000US37089,Henderson County,North Carolina,"Henderson County, North Carolina",116748,urban,0.584,0.5599999999999999
0500000US42133,York County,Pennsylvania,"York County, Pennsylvania",448273,urban,0.649,0.5099999999999999
0500000US48453,Travis County,Texas,"Travis County, Texas",1248743,urban,0.728,0.674
0500000US48479,Webb County,Texas,"Webb County, Texas",275910,urban,0.597,0.45500000000000007
0500000US49045,Tooele County,Utah,"Tooele County, Utah",69907,urban,,0.5349999999999999
0500000US51019,Bedford County,Virginia,"Bedford County, Virginia",78747,urban,0.588,0.586
0500000US51041,Chesterfield County,Virginia,"Chesterfield County, Virginia",348556,urban,0.669,0.38300000000000006
0500000US51095,James City County,Virginia,"James City County, Virginia",76397,urban,0.578,0.49700000000000005
0500000US51107,Loudoun County,Virginia,"Loudoun County, Virginia",406850,urban,0.7490000000000001,0.486
0500000US51165,Rockingham County,Virginia,"Rockingham County, Virginia",81244,rural,0.624,0.489
0500000US51179,Stafford County,Virginia,"Stafford County, Virginia",149960,urban,0.715,0.559
0500000US53053,Pierce County,Washington,"Pierce County, Washington",891299,urban,0.654,0.786
0500000US53061,Snohomish County,Washington,"Snohomish County, Washington",814901,urban,0.6759999999999999,0.24200000000000002
0500000US53073,Whatcom County,Washington,"Whatcom County, Washington",225685,rural,0.605,0.486
0500000US54033,Harrison County,West Virginia,"Harrison County, West Virginia",67554,rural,0.565,0.6779999999999999
0500000US54081,Raleigh County,West Virginia,"Raleigh County, West Virginia",74254,rural,0.491,0.638
0500000US37133,Onslow County,North Carolina,"Onslow County, North Carolina",197683,rural,0.72,0.662
0500000US37161,Rutherford County,North Carolina,"Rutherford County, North Carolina",66826,rural,0.556,0.436
0500000US22079,Rapides Parish,Louisiana,"Rapides Parish, Louisiana",130562,rural,0.5720000000000001,0.733
0500000US22097,St. Landry Parish,Louisiana,"St. Landry Parish, Louisiana",82764,rural,0.518,0.7440000000000001
0500000US09001,Fairfield County,Connecticut,"Fairfield County, Connecticut",943823,urban,0.675,0.613
0500000US09007,Middlesex County,Connecticut,"Middlesex County, Connecticut",162682,urban,0.687,0.634
0500000US09011,New London County,Connecticut,"New London County, Connecticut",266784,urban,0.66,0.5259999999999999
0500000US10005,Sussex County,Delaware,"Sussex County, Delaware",229286,urban,0.5529999999999999,0.7010000000000001
0500000US12033,Escambia County,Florida,"Escambia County, Florida",315534,urban,0.597,0.681
0500000US12053,Hernando County,Florida,"Hernando County, Florida",190865,urban,0.46799999999999997,0.6410000000000001
0500000US12071,Lee County,Florida,"Lee County, Florida",754610,urban,0.529,0.6489999999999999
0500000US19113,Linn County,Iowa,"Linn County, Iowa",225909,urban,0.693,0.6679999999999999
0500000US21029,Bullitt County,Kentucky,"Bullitt County, Kentucky",81069,urban,0.638,0.625
0500000US41017,Deschutes County,Oregon,"Deschutes County, Oregon",191996,rural,0.628,0.5750000000000001
0500000US41019,Douglas County,Oregon,"Douglas County, Oregon",110283,rural,0.516,0.551
0500000US42003,Allegheny County,Pennsylvania,"Allegheny County, Pennsylvania",1218452,urban,0.65,0.537
0500000US42027,Centre County,Pennsylvania,"Centre County, Pennsylvania",162805,rural,0.568,0.634
0500000US42033,Clearfield County,Pennsylvania,"Clearfield County, Pennsylvania",79388,rural,0.5429999999999999,0.655
0500000US42041,Cumberland County,Pennsylvania,"Cumberland County, Pennsylvania",251423,urban,0.6609999999999999,0.561
0500000US42045,Delaware County,Pennsylvania,"Delaware County, Pennsylvania",564751,urban,0.647,0.49000000000000005
0500000US42051,Fayette County,Pennsylvania,"Fayette County, Pennsylvania",130441,urban,0.565,0.5840000000000001
0500000US42071,Lancaster County,Pennsylvania,"Lancaster County, Pennsylvania",543557,urban,0.6559999999999999,0.5569999999999999
0500000US42089,Monroe County,Pennsylvania,"Monroe County, Pennsylvania",169507,rural,0.602,0.414
0500000US42095,Northampton County,Pennsylvania,"Northampton County, Pennsylvania",304807,urban,0.619,0.12200000000000001
0500000US51087,Henrico County,Virginia,"Henrico County, Virginia",329261,urban,0.688,0.529
0500000US53077,Yakima County,Washington,"Yakima County, Washington",251446,rural,0.607,0.61
0500000US45047,Greenwood County,South Carolina,"Greenwood County, South Carolina",70741,rural,0.588,0.5509999999999999
0500000US01043,Cullman County,Alabama,"Cullman County, Alabama",83442,rural,0.562,0.506
0500000US06039,Madera County,California,"Madera County, California",157672,rural,0.56,0.5249999999999999
0500000US12069,Lake County,Florida,"Lake County, Florida",356495,urban,0.52,0.8
0500000US22017,Caddo Parish,Louisiana,"Caddo Parish, Louisiana",242922,urban,0.584,0.508
0500000US29019,Boone County,Missouri,"Boone County, Missouri",180005,rural,0.674,0.575
0500000US39061,Hamilton County,Ohio,"Hamilton County, Ohio",816684,urban,0.67,0.6260000000000001
0500000US39095,Lucas County,Ohio,"Lucas County, Ohio",429899,urban,0.619,0.6559999999999999
0500000US45055,Kershaw County,South Carolina,"Kershaw County, South Carolina",65592,urban,0.584,0.63
0500000US45059,Laurens County,South Carolina,"Laurens County, South Carolina",66994,urban,0.5529999999999999,0.491
0500000US45073,Oconee County,South Carolina,"Oconee County, South Carolina",78374,rural,0.49200000000000005,0.4690000000000001
0500000US45083,Spartanburg County,South Carolina,"Spartanburg County, South Carolina",313888,urban,0.617,0.649
0500000US06095,Solano County,California,"Solano County, California",446610,urban,0.642,0.671
0500000US08035,Douglas County,Colorado,"Douglas County, Colorado",342776,urban,0.731,0.418
0500000US10003,New Castle County,Delaware,"New Castle County, Delaware",559335,urban,0.654,0.6629999999999999
0500000US12113,Santa Rosa County,Florida,"Santa Rosa County, Florida",179349,urban,0.5920000000000001,0.446
0500000US13135,Gwinnett County,Georgia,"Gwinnett County, Georgia",927781,urban,0.6890000000000001,0.759
0500000US47155,Sevier County,Tennessee,"Sevier County, Tennessee",97892,rural,0.579,0.449
0500000US47157,Shelby County,Tennessee,"Shelby County, Tennessee",935764,urban,0.642,0.598
0500000US47165,Sumner County,Tennessee,"Sumner County, Tennessee",187149,urban,0.653,0.6559999999999999
0500000US47189,Wilson County,Tennessee,"Wilson County, Tennessee",140625,urban,0.664,0.732
0500000US48005,Angelina County,Texas,"Angelina County, Texas",87092,rural,0.555,0.36699999999999994
0500000US48029,Bexar County,Texas,"Bexar County, Texas",1986049,urban,0.6459999999999999,0.6890000000000001
0500000US48037,Bowie County,Texas,"Bowie County, Texas",94324,rural,0.529,0.5569999999999999
0500000US48091,Comal County,Texas,"Comal County, Texas",148373,urban,0.557,0.43699999999999994
0500000US48187,Guadalupe County,Texas,"Guadalupe County, Texas",163694,urban,0.64,0.737
0500000US48215,Hidalgo County,Texas,"Hidalgo County, Texas",865939,urban,0.5870000000000001,0.529
0500000US48339,Montgomery County,Texas,"Montgomery County, Texas",590925,urban,0.652,0.578
0500000US47037,Davidson County,Tennessee,"Davidson County, Tennessee",692587,urban,0.7190000000000001,0.48
0500000US47065,Hamilton County,Tennessee,"Hamilton County, Tennessee",364286,urban,0.635,0.566
0500000US04001,Apache County,Arizona,"Apache County, Arizona",71818,rural,0.36,0.615
0500000US42049,Erie County,Pennsylvania,"Erie County, Pennsylvania",272061,urban,0.612,0.589
0500000US42101,Philadelphia County,Pennsylvania,"Philadelphia County, Pennsylvania",1584138,urban,0.611,0.45299999999999996
0500000US45057,Lancaster County,South Carolina,"Lancaster County, South Carolina",95380,urban,0.58,0.547
0500000US47163,Sullivan County,Tennessee,"Sullivan County, Tennessee",157668,urban,0.522,0.601
0500000US48135,Ector County,Texas,"Ector County, Texas",162124,rural,0.675,0.596
0500000US48203,Harrison County,Texas,"Harrison County, Texas",66726,rural,0.5870000000000001,0.591
0500000US48409,San Patricio County,Texas,"San Patricio County, Texas",66893,urban,0.581,0.638
0500000US53011,Clark County,Washington,"Clark County, Washington",481857,urban,0.65,0.467
0500000US53045,Mason County,Washington,"Mason County, Washington",65507,rural,0.522,0.48300000000000004
0500000US23003,Aroostook County,Maine,"Aroostook County, Maine",67111,rural,0.537,0.59
0500000US37125,Moore County,North Carolina,"Moore County, North Carolina",98682,rural,0.5770000000000001,0.691
0500000US22005,Ascension Parish,Louisiana,"Ascension Parish, Louisiana",124672,urban,0.693,0.4160000000000001
0500000US22015,Bossier Parish,Louisiana,"Bossier Parish, Louisiana",127185,urban,0.642,0.38599999999999995
0500000US22109,Terrebonne Parish,Louisiana,"Terrebonne Parish, Louisiana",111021,rural,0.5770000000000001,0.5489999999999999
0500000US26055,Grand Traverse County,Michigan,"Grand Traverse County, Michigan",92573,rural,0.648,0.37799999999999995
0500000US29095,Jackson County,Missouri,"Jackson County, Missouri",700307,urban,0.665,0.597
0500000US36059,Nassau County,New York,"Nassau County, New York",1358343,urban,0.6509999999999999,0.46199999999999997
0500000US42043,Dauphin County,Pennsylvania,"Dauphin County, Pennsylvania",277097,urban,0.662,0.6689999999999999
0500000US42097,Northumberland County,Pennsylvania,"Northumberland County, Pennsylvania",91083,rural,0.5870000000000001,0.603
0500000US45015,Berkeley County,South Carolina,"Berkeley County, South Carolina",221091,urban,0.649,0.5349999999999999
0500000US47009,Blount County,Tennessee,"Blount County, Tennessee",131349,urban,0.595,0.72
0500000US48157,Fort Bend County,Texas,"Fort Bend County, Texas",787858,urban,0.677,0.644
0500000US12057,Hillsborough County,Florida,"Hillsborough County, Florida",1436888,urban,0.6459999999999999,0.43200000000000005
0500000US12089,Nassau County,Florida,"Nassau County, Florida",85832,urban,0.5920000000000001,0.47800000000000004
