"GEO_ID","NAME","S2801_C01_001E","S2801_C01_001M","S2801_C02_001E","S2801_C02_001M","S2801_C01_002E","S2801_C01_002M","S2801_C02_002E","S2801_C02_002M","S2801_C01_003E","S2801_C01_003M","S2801_C02_003E","S2801_C02_003M","S2801_C01_004E","S2801_C01_004M","S2801_C02_004E","S2801_C02_004M","S2801_C01_005E","S2801_C01_005M","S2801_C02_005E","S2801_C02_005M","S2801_C01_006E","S2801_C01_006M","S2801_C02_006E","S2801_C02_006M","S2801_C01_007E","S2801_C01_007M","S2801_C02_007E","S2801_C02_007M","S2801_C01_008E","S2801_C01_008M","S2801_C02_008E","S2801_C02_008M","S2801_C01_009E","S2801_C01_009M","S2801_C02_009E","S2801_C02_009M","S2801_C01_010E","S2801_C01_010M","S2801_C02_010E","S2801_C02_010M","S2801_C01_011E","S2801_C01_011M","S2801_C02_011E","S2801_C02_011M","S2801_C01_012E","S2801_C01_012M","S2801_C02_012E","S2801_C02_012M","S2801_C01_013E","S2801_C01_013M","S2801_C02_013E","S2801_C02_013M","S2801_C01_014E","S2801_C01_014M","S2801_C02_014E","S2801_C02_014M","S2801_C01_015E","S2801_C01_015M","S2801_C02_015E","S2801_C02_015M","S2801_C01_016E","S2801_C01_016M","S2801_C02_016E","S2801_C02_016M","S2801_C01_017E","S2801_C01_017M","S2801_C02_017E","S2801_C02_017M","S2801_C01_018E","S2801_C01_018M","S2801_C02_018E","S2801_C02_018M","S2801_C01_019E","S2801_C01_019M","S2801_C02_019E","S2801_C02_019M","S2801_C01_020E","S2801_C01_020M","S2801_C02_020E","S2801_C02_020M","S2801_C01_021E","S2801_C01_021M","S2801_C02_021E","S2801_C02_021M","S2801_C01_022E","S2801_C01_022M","S2801_C02_022E","S2801_C02_022M","S2801_C01_023E","S2801_C01_023M","S2801_C02_023E","S2801_C02_023M","S2801_C01_024E","S2801_C01_024M","S2801_C02_024E","S2801_C02_024M","S2801_C01_025E","S2801_C01_025M","S2801_C02_025E","S2801_C02_025M","S2801_C01_026E","S2801_C01_026M","S2801_C02_026E","S2801_C02_026M","S2801_C01_027E","S2801_C01_027M","S2801_C02_027E","S2801_C02_027M","S2801_C01_028E","S2801_C01_028M","S2801_C02_028E","S2801_C02_028M","S2801_C01_029E","S2801_C01_029M","S2801_C02_029E","S2801_C02_029M","S2801_C01_030E","S2801_C01_030M","S2801_C02_030E","S2801_C02_030M","S2801_C01_031E","S2801_C01_031M","S2801_C02_031E","S2801_C02_031M"
"0500000US28075","Lauderdale County, Mississippi","29993","1432","(X)","(X)","25969","1695","86.6","3.4","19775","1792","65.9","5.0","721","392","2.4","1.3","24254","1802","80.9","4.3","3687","1166","12.3","3.8","16696","2090","55.7","6.1","311","215","1.0","0.7","785","480","2.6","1.6","0","218","0.0","0.7","4024","1018","13.4","3.4","24247","1850","80.8","4.1","81","137","0.3","0.5","24166","1832","80.6","4.1","22516","1839","75.1","4.3","6737","1534","22.5","5.1","16575","2101","55.3","6.1","2051","1008","6.8","3.3","5746","1213","19.2","4.1","10252","1726","(X)","(X)","0","218","0.0","1.9","7217","1446","70.4","7.6","3035","920","29.6","7.6","13599","1739","(X)","(X)","81","137","0.6","1.0","10900","1611","80.2","6.0","2618","884","19.3","6.0","6142","1135","(X)","(X)","0","218","0.0","3.2","6049","1143","98.5","1.7","93","104","1.5","1.7"
"0500000US28081","Lee County, Mississippi","32527","1164","(X)","(X)","28293","1434","87.0","3.3","19454","1580","59.8","4.3","1511","566","4.6","1.7","25990","1457","79.9","3.7","6147","1141","18.9","3.5","16137","1561","49.6","4.4","211","200","0.6","0.6","447","300","1.4","0.9","0","218","0.0","0.6","4234","1088","13.0","3.3","25104","1617","77.2","4.2","55","72","0.2","0.2","25049","1601","77.0","4.2","22265","1671","68.5","4.5","8601","1414","26.4","4.3","15156","1456","46.6","4.1","3022","783","9.3","2.4","7423","1395","22.8","4.2","5967","1306","(X)","(X)","0","218","0.0","3.3","2860","938","47.9","11.2","3107","930","52.1","11.2","14878","1438","(X)","(X)","55","72","0.4","0.5","11758","1348","79.0","4.8","3065","759","20.6","4.8","11682","1336","(X)","(X)","0","218","0.0","1.7","10431","1398","89.3","6.3","1251","749","10.7","6.3"
"0500000US28121","Rankin County, Mississippi","55483","1717","(X)","(X)","51464","2037","92.8","2.0","44216","2294","79.7","3.6","2025","722","3.6","1.3","48399","1968","87.2","2.0","4384","1388","7.9","2.4","36707","2411","66.2","3.8","698","453","1.3","0.8","1202","605","2.2","1.1","0","218","0.0","0.4","4019","1117","7.2","2.0","45916","2348","82.8","3.8","125","167","0.2","0.3","45791","2340","82.5","3.8","41766","2416","75.3","4.0","6651","1438","12.0","2.6","33373","2458","60.1","4.5","7061","1505","12.7","2.6","9567","2206","17.2","3.8","6688","1531","(X)","(X)","0","218","0.0","2.9","3959","1161","59.2","12.1","2729","1058","40.8","12.1","24846","2682","(X)","(X)","125","167","0.5","0.7","19207","2069","77.3","5.8","5514","1760","22.2","5.9","23949","2379","(X)","(X)","0","218","0.0","0.8","22625","2474","94.5","3.3","1324","789","5.5","3.3"
"0500000US36111","Ulster County, New York","69154","2116","(X)","(X)","64596","2373","93.4","1.4","56015","2557","81.0","2.3","4293","826","6.2","1.2","56967","2254","82.4","1.8","4850","1248","7.0","1.8","41664","2354","60.2","2.8","846","500","1.2","0.7","3045","932","4.4","1.3","0","201","0.0","0.2","4558","930","6.6","1.4","61690","2405","89.2","1.8","393","248","0.6","0.4","61297","2429","88.6","1.8","46604","2357","67.4","2.7","4689","1061","6.8","1.6","55270","2793","79.9","2.8","2731","802","3.9","1.2","7464","1250","10.8","1.8","9874","1412","(X)","(X)","44","73","0.4","0.7","7528","1257","76.2","6.2","2302","672","23.3","6.1","28970","2097","(X)","(X)","301","243","1.0","0.8","24300","2014","83.9","3.3","4369","1000","15.1","3.3","30310","1912","(X)","(X)","48","84","0.2","0.3","29469","1905","97.2","1.2","793","375","2.6","1.2"
"0500000US37183","Wake County, North Carolina","408473","3824","(X)","(X)","396038","3932","97.0","0.5","360673","5045","88.3","0.9","10211","1516","2.5","0.4","378430","3878","92.6","0.6","19754","2701","4.8","0.7","304424","5285","74.5","1.2","2150","639","0.5","0.2","9518","1626","2.3","0.4","0","210","0.0","0.1","12435","2089","3.0","0.5","377549","4410","92.4","0.8","52","85","0.0","0.1","377497","4407","92.4","0.8","353265","4058","86.5","0.9","29461","3161","7.2","0.8","339621","5516","83.1","1.1","24454","2435","6.0","0.6","30924","3190","7.6","0.8","34544","3058","(X)","(X)","0","210","0.0","0.5","25746","2564","74.5","4.5","8798","1855","25.5","4.5","157718","5694","(X)","(X)","52","85","0.0","0.1","140929","5751","89.4","1.6","16737","2541","10.6","1.6","216211","5429","(X)","(X)","0","210","0.0","0.1","210822","5377","97.5","0.6","5389","1369","2.5","0.6"
"0500000US39093","Lorain County, Ohio","121344","1986","(X)","(X)","113148","2277","93.2","1.2","99261","2781","81.8","1.9","9607","1535","7.9","1.3","98715","2463","81.4","1.7","7443","1411","6.1","1.2","74407","3064","61.3","2.4","1230","462","1.0","0.4","2425","831","2.0","0.7","0","195","0.0","0.1","8196","1424","6.8","1.2","98645","2636","81.3","2.0","732","424","0.6","0.3","97913","2622","80.7","2.0","83354","2964","68.7","2.4","10188","1568","8.4","1.3","84203","2874","69.4","2.4","8965","1305","7.4","1.1","22699","2509","18.7","2.0","19571","2202","(X)","(X)","76","124","0.4","0.6","10252","1592","52.4","6.6","9243","1763","47.2","6.6","54094","2589","(X)","(X)","656","407","1.2","0.7","43354","2319","80.1","2.6","10084","1549","18.6","2.6","47679","2907","(X)","(X)","0","195","0.0","0.3","44307","2593","92.9","2.0","3372","1047","7.1","2.0"
"0500000US40119","Payne County, Oklahoma","30734","1244","(X)","(X)","28837","1281","93.8","1.8","23691","1475","77.1","3.7","1172","416","3.8","1.4","26683","1310","86.8","2.6","3069","920","10.0","2.9","19422","1407","63.2","3.8","179","250","0.6","0.8","740","356","2.4","1.1","0","161","0.0","0.3","1897","556","6.2","1.8","25573","1574","83.2","3.5","84","110","0.3","0.4","25489","1566","82.9","3.5","23059","1634","75.0","4.2","4220","853","13.7","2.8","19432","1666","63.2","4.3","2662","596","8.7","1.9","5161","1061","16.8","3.5","7061","1012","(X)","(X)","29","50","0.4","0.7","4673","892","66.2","8.7","2359","715","33.4","8.8","14686","1440","(X)","(X)","55","94","0.4","0.7","12497","1405","85.1","4.4","2134","663","14.5","4.3","8987","1222","(X)","(X)","0","161","0.0","1.2","8319","1276","92.6","4.6","668","406","7.4","4.6"
"0500000US40131","Rogers County, Oklahoma","35254","773","(X)","(X)","33299","791","94.5","1.1","26519","1013","75.2","2.2","1458","353","4.1","1.0","31096","922","88.2","1.6","4355","636","12.4","1.9","22487","1181","63.8","2.8","294","180","0.8","0.5","688","291","2.0","0.8","0","161","0.0","0.3","1955","412","5.5","1.1","29590","953","83.9","1.8","121","100","0.3","0.3","29469","974","83.6","1.9","27160","1033","77.0","2.4","5152","758","14.6","2.2","20457","1196","58.0","2.8","4696","640","13.3","1.8","5664","635","16.1","1.8","4029","631","(X)","(X)","36","59","0.9","1.4","2480","478","61.6","7.4","1513","393","37.6","7.7","16738","1010","(X)","(X)","65","74","0.4","0.4","13294","1076","79.4","3.5","3379","576","20.2","3.5","14487","911","(X)","(X)","20","33","0.1","0.2","13695","940","94.5","1.9","772","270","5.3","1.9"
"0500000US42081","Lycoming County, Pennsylvania","44585","1610","(X)","(X)","39568","1587","88.7","1.9","33385","1719","74.9","3.2","3403","695","7.6","1.6","32546","1756","73.0","2.7","2976","783","6.7","1.7","27548","1625","61.8","3.0","1121","504","2.5","1.1","1057","371","2.4","0.8","0","177","0.0","0.3","5017","899","11.3","1.9","36666","1660","82.2","2.4","402","224","0.9","0.5","36264","1678","81.3","2.4","30053","1994","67.4","3.3","4179","903","9.4","2.0","29740","1842","66.7","3.1","3264","711","7.3","1.6","7919","1139","17.8","2.4","7914","1133","(X)","(X)","59","63","0.7","0.8","3668","872","46.3","9.0","4187","950","52.9","9.0","21366","1475","(X)","(X)","293","208","1.4","1.0","18211","1420","85.2","2.9","2862","652","13.4","2.9","15305","1450","(X)","(X)","50","46","0.3","0.3","14385","1333","94.0","2.2","870","364","5.7","2.2"
"0500000US45015","Berkeley County, South Carolina","78168","1608","(X)","(X)","72804","1841","93.1","1.4","60738","2489","77.7","2.6","4282","1234","5.5","1.6","66474","2120","85.0","2.1","7980","1792","10.2","2.3","49511","2494","63.3","3.0","581","316","0.7","0.4","2007","660","2.6","0.8","0","214","0.0","0.2","5364","1117","6.9","1.4","65504","2192","83.8","2.4","79","105","0.1","0.1","65425","2199","83.7","2.4","59588","2399","76.2","2.7","7523","1298","9.6","1.7","54950","2322","70.3","2.5","5801","1192","7.4","1.5","12664","1947","16.2","2.4","9821","1374","(X)","(X)","0","214","0.0","1.9","6214","1294","63.3","9.2","3607","999","36.7","9.2","36507","2200","(X)","(X)","79","105","0.2","0.3","29595","2097","81.1","3.8","6833","1509","18.7","3.8","31840","2260","(X)","(X)","0","214","0.0","0.6","29616","2093","93.0","2.9","2224","951","7.0","2.9"
"0500000US45085","Sumter County, South Carolina","40396","1823","(X)","(X)","35352","2000","87.5","2.3","27418","2019","67.9","3.6","1244","479","3.1","1.2","32888","2058","81.4","2.8","5385","1249","13.3","3.1","21162","1731","52.4","3.7","412","296","1.0","0.7","1307","552","3.2","1.4","0","214","0.0","0.5","5044","922","12.5","2.3","32536","2000","80.5","3.2","46","80","0.1","0.2","32490","2002","80.4","3.2","29218","2008","72.3","3.7","3742","819","9.3","2.1","27700","1997","68.6","3.5","2442","827","6.0","2.1","7860","1335","19.5","3.2","6861","1356","(X)","(X)","0","214","0.0","2.7","4065","995","59.2","8.1","2796","762","40.8","8.1","23907","2353","(X)","(X)","46","80","0.2","0.3","18934","2191","79.2","4.5","4927","1143","20.6","4.4","9628","1477","(X)","(X)","0","214","0.0","2.0","9491","1468","98.6","1.5","137","146","1.4","1.5"
"0500000US47147","Robertson County, Tennessee","26375","792","(X)","(X)","24237","911","91.9","2.1","19453","1122","73.8","3.8","420","204","1.6","0.8","23395","995","88.7","2.5","3058","845","11.6","3.2","15551","1277","59.0","4.6","91","110","0.3","0.4","782","411","3.0","1.6","0","211","0.0","0.7","2138","558","8.1","2.1","22878","972","86.7","2.6","54","93","0.2","0.4","22824","969","86.5","2.7","21291","929","80.7","2.9","4660","933","17.7","3.5","16722","1266","63.4","4.5","3119","772","11.8","2.9","3497","708","13.3","2.6","3010","675","(X)","(X)","0","211","0.0","6.0","1745","556","58.0","14.0","1265","522","42.0","14.0","11196","1380","(X)","(X)","0","211","0.0","1.6","9514","1232","85.0","4.2","1682","534","15.0","4.2","12169","1356","(X)","(X)","54","93","0.4","0.7","11565","1300","95.0","2.6","550","314","4.5","2.5"
"0500000US48085","Collin County, Texas","344824","3891","(X)","(X)","339237","4018","98.4","0.4","316964","4742","91.9","0.9","7268","1120","2.1","0.3","327545","4157","95.0","0.6","14398","2346","4.2","0.7","258685","5272","75.0","1.4","1025","447","0.3","0.1","17729","2338","5.1","0.7","0","228","0.0","0.1","5587","1267","1.6","0.4","324539","4986","94.1","0.9","482","440","0.1","0.1","324057","4989","94.0","0.9","292314","4937","84.8","1.1","21137","2540","6.1","0.7","291091","5393","84.4","1.3","27496","2881","8.0","0.8","20285","2994","5.9","0.9","25372","3182","(X)","(X)","0","228","0.0","0.8","19094","2874","75.3","5.5","6278","1530","24.7","5.5","109478","5207","(X)","(X)","145","147","0.1","0.1","100454","5252","91.8","1.9","8879","2067","8.1","1.9","209974","5753","(X)","(X)","337","417","0.2","0.2","204509","5719","97.4","0.6","5128","1295","2.4","0.6"
"0500000US49045","Tooele County, Utah","20411","841","(X)","(X)","19426","971","95.2","2.3","17224","1018","84.4","4.3","972","497","4.8","2.4","18039","1070","88.4","3.4","1233","664","6.0","3.2","13047","1409","63.9","6.2","99","128","0.5","0.6","349","249","1.7","1.2","0","193","0.0","0.8","985","472","4.8","2.3","18670","1051","91.5","3.3","112","185","0.5","0.9","18558","1032","90.9","3.3","17306","1214","84.8","4.7","2738","880","13.4","4.2","13656","1278","66.9","5.6","2861","804","14.0","4.0","1741","670","8.5","3.3","2289","769","(X)","(X)","112","185","4.9","7.8","1015","519","44.3","19.1","1162","618","50.8","18.7","8311","1201","(X)","(X)","0","193","0.0","1.8","7797","1180","93.8","3.4","514","292","6.2","3.4","9811","1373","(X)","(X)","0","193","0.0","1.6","9746","1370","99.3","1.2","65","117","0.7","1.2"
"0500000US53041","Lewis County, Washington","30327","1125","(X)","(X)","27838","1054","91.8","2.0","23890","1177","78.8","3.2","2073","467","6.8","1.5","24667","1091","81.3","2.5","2380","734","7.8","2.3","18917","1238","62.4","3.9","55","68","0.2","0.2","359","199","1.2","0.7","0","204","0.0","0.6","2489","631","8.2","2.0","26315","1231","86.8","2.4","94","112","0.3","0.4","26221","1232","86.5","2.5","20612","1139","68.0","3.2","3580","844","11.8","2.7","19709","1452","65.0","4.3","3486","742","11.5","2.4","4012","748","13.2","2.4","3865","726","(X)","(X)","0","204","0.0","4.4","2942","668","76.1","7.5","923","313","23.9","7.5","14414","1553","(X)","(X)","94","112","0.7","0.8","11992","1381","83.2","3.8","2328","599","16.2","3.7","12048","1196","(X)","(X)","0","204","0.0","1.4","11287","1183","93.7","3.6","761","446","6.3","3.6"
"0500000US53053","Pierce County, Washington","328519","3174","(X)","(X)","312005","3267","95.0","0.6","272101","4479","82.8","1.1","12092","1463","3.7","0.4","290850","3735","88.5","0.8","22933","2812","7.0","0.9","225343","5414","68.6","1.5","2188","800","0.7","0.2","11616","1612","3.5","0.5","47","78","0.0","0.1","16514","1909","5.0","0.6","293285","3954","89.3","1.1","498","281","0.2","0.1","292787","3939","89.1","1.1","270373","4130","82.3","1.1","36551","3114","11.1","0.9","249076","4633","75.8","1.4","16913","2074","5.1","0.6","35234","3565","10.7","1.1","29640","3034","(X)","(X)","53","87","0.2","0.3","19157","2099","64.6","4.9","10430","2050","35.2","5.0","133553","4684","(X)","(X)","264","213","0.2","0.2","115119","4521","86.2","1.6","18170","2266","13.6","1.6","165326","4813","(X)","(X)","181","167","0.1","0.1","158511","4869","95.9","0.8","6634","1360","4.0","0.8"
"0500000US54061","Monongalia County, West Virginia","40603","1237","(X)","(X)","38391","1322","94.6","1.6","33641","1419","82.9","2.7","1666","584","4.1","1.4","35329","1445","87.0","2.3","1959","655","4.8","1.6","27828","1724","68.5","3.8","333","296","0.8","0.7","742","387","1.8","1.0","0","201","0.0","0.4","2212","672","5.4","1.6","36491","1307","89.9","2.0","177","152","0.4","0.4","36314","1311","89.4","2.1","33198","1451","81.8","2.3","3866","1108","9.5","2.8","31284","1642","77.0","3.2","1700","531","4.2","1.3","4112","845","10.1","2.0","8545","1203","(X)","(X)","0","201","0.0","1.9","6285","1076","73.6","7.3","2260","697","26.4","7.3","18120","1461","(X)","(X)","85","101","0.5","0.6","16293","1527","89.9","3.2","1742","603","9.6","3.4","13938","1175","(X)","(X)","92","109","0.7","0.8","13736","1161","98.6","1.2","110","117","0.8","0.8"
"0500000US55009","Brown County, Wisconsin","104470","1568","(X)","(X)","95538","1987","91.5","1.3","81613","2375","78.1","2.1","5635","1093","5.4","1.0","85302","2060","81.7","1.5","7137","1320","6.8","1.3","69893","2330","66.9","2.1","1267","420","1.2","0.4","3323","937","3.2","0.9","75","122","0.1","0.1","8932","1371","8.5","1.3","90109","1920","86.3","1.5","542","301","0.5","0.3","89567","1882","85.7","1.5","80781","2039","77.3","1.8","11266","1707","10.8","1.6","74507","2247","71.3","2.1","6892","1180","6.6","1.1","14361","1586","13.7","1.5","12387","1518","(X)","(X)","15","24","0.1","0.2","8372","1468","67.6","7.0","4000","906","32.3","7.0","50169","2746","(X)","(X)","492","285","1.0","0.6","40942","2324","81.6","2.6","8735","1452","17.4","2.5","41914","2164","(X)","(X)","35","44","0.1","0.1","40253","2240","96.0","1.6","1626","681","3.9","1.6"
"0500000US06115","Yuba County, California","26191","1076","(X)","(X)","22746","1320","86.8","3.5","18045","1492","68.9","4.7","1157","508","4.4","1.9","20364","1462","77.8","4.7","3228","989","12.3","3.7","13687","1501","52.3","5.3","388","273","1.5","1.0","519","411","2.0","1.6","0","211","0.0","0.7","3445","932","13.2","3.5","19877","1433","75.9","4.7","39","65","0.1","0.2","19838","1426","75.7","4.6","18674","1357","71.3","4.5","4417","960","16.9","3.6","13094","1435","50.0","5.1","3427","973","13.1","3.7","6314","1260","24.1","4.7","4553","1041","(X)","(X)","39","65","0.9","1.5","2237","753","49.1","12.1","2277","775","50.0","12.3","12580","1628","(X)","(X)","0","211","0.0","1.5","8802","1261","70.0","6.6","3778","1031","30.0","6.6","9058","1303","(X)","(X)","0","211","0.0","2.0","8799","1274","97.1","2.9","259","265","2.9","2.9"
"0500000US13051","Chatham County, Georgia","107921","2645","(X)","(X)","101090","3048","93.7","1.2","82629","3274","76.6","2.5","2295","652","2.1","0.6","96285","3273","89.2","1.6","12908","2263","12.0","2.0","69248","3454","64.2","2.7","614","267","0.6","0.2","2710","1033","2.5","0.9","0","226","0.0","0.2","6831","1258","6.3","1.2","95547","3222","88.5","1.6","79","91","0.1","0.1","95468","3221","88.5","1.6","88619","3357","82.1","2.0","16657","2527","15.4","2.3","76558","3488","70.9","2.6","6367","1470","5.9","1.3","12374","1718","11.5","1.6","16591","1963","(X)","(X)","0","226","0.0","1.3","12222","1734","73.7","5.5","4369","1026","26.3","5.5","50840","3413","(X)","(X)","42","69","0.1","0.1","44214","2965","87.0","2.9","6584","1626","13.0","2.9","40490","2446","(X)","(X)","37","59","0.1","0.1","39032","2447","96.4","1.5","1421","592","3.5","1.5"
"0500000US13063","Clayton County, Georgia","96286","2093","(X)","(X)","89596","2444","93.1","1.6","70753","3115","73.5","3.0","3286","947","3.4","1.0","84383","2770","87.6","2.1","13808","2021","14.3","2.1","51706","3340","53.7","3.3","535","298","0.6","0.3","1527","678","1.6","0.7","0","226","0.0","0.2","6690","1576","6.9","1.6","75738","3138","78.7","2.5","431","456","0.4","0.5","75307","3069","78.2","2.4","66449","3268","69.0","2.7","10805","1992","11.2","2.0","61091","3288","63.4","3.0","6816","1643","7.1","1.7","20548","2314","21.3","2.5","15648","2313","(X)","(X)","0","226","0.0","1.3","10201","1629","65.2","8.0","5447","1686","34.8","8.0","54904","3413","(X)","(X)","431","456","0.8","0.8","42656","3311","77.7","3.5","11817","2070","21.5","3.6","25734","2931","(X)","(X)","0","226","0.0","0.8","22450","2772","87.2","4.6","3284","1267","12.8","4.6"
"0500000US13113","Fayette County, Georgia","39366","1116","(X)","(X)","36968","1255","93.9","2.0","34503","1356","87.6","2.7","964","477","2.4","1.2","34918","1321","88.7","2.3","1517","744","3.9","1.9","30381","1662","77.2","3.5","444","265","1.1","0.7","1479","684","3.8","1.7","0","226","0.0","0.5","2398","796","6.1","2.0","35753","1409","90.8","2.3","142","173","0.4","0.4","35611","1409","90.5","2.3","33368","1448","84.8","2.7","2309","876","5.9","2.2","32410","1587","82.3","3.0","3681","836","9.4","2.1","3613","891","9.2","2.3","2618","838","(X)","(X)","96","156","3.7","6.0","1186","499","45.3","19.0","1336","750","51.0","18.9","12959","1737","(X)","(X)","46","80","0.4","0.6","11072","1587","85.4","3.8","1841","548","14.2","3.8","23789","1645","(X)","(X)","0","226","0.0","0.9","23353","1670","98.2","1.3","436","316","1.8","1.3"
"0500000US13223","Paulding County, Georgia","53630","1664","(X)","(X)","51104","1777","95.3","1.8","45237","2239","84.4","3.4","899","563","1.7","1.1","49352","1937","92.0","2.1","4383","1555","8.2","2.9","38992","2490","72.7","4.0","62","77","0.1","0.1","2121","1086","4.0","2.0","0","226","0.0","0.4","2526","952","4.7","1.8","48393","2285","90.2","2.9","79","132","0.1","0.2","48314","2267","90.1","2.9","45529","2457","84.9","3.3","5291","1635","9.9","3.0","40959","2285","76.4","3.6","4390","1309","8.2","2.3","5237","1567","9.8","2.9","4515","1645","(X)","(X)","0","226","0.0","4.6","3430","1445","76.0","13.7","1085","682","24.0","13.7","23666","2712","(X)","(X)","0","226","0.0","0.9","20212","2955","85.4","5.0","3454","1087","14.6","5.0","25449","2628","(X)","(X)","79","132","0.3","0.5","24672","2676","96.9","2.2","698","534","2.7","2.1"
"0500000US17043","DuPage County, Illinois","345714","2259","(X)","(X)","328790","2679","95.1","0.5","299943","3761","86.8","0.9","10789","1286","3.1","0.4","308355","3099","89.2","0.6","15008","2265","4.3","0.7","255945","3496","74.0","1.0","2191","592","0.6","0.2","10129","1329","2.9","0.4","0","190","0.0","0.1","16924","1899","4.9","0.5","318438","3281","92.1","0.8","649","297","0.2","0.1","317789","3233","91.9","0.8","295068","3568","85.4","0.8","28027","2294","8.1","0.7","283367","3647","82.0","1.0","18290","1953","5.3","0.6","27276","2628","7.9","0.8","28115","2518","(X)","(X)","290","223","1.0","0.8","19920","2160","70.9","4.2","7905","1364","28.1","4.2","109342","3588","(X)","(X)","273","168","0.2","0.2","96211","3776","88.0","1.6","12858","1751","11.8","1.6","208257","3654","(X)","(X)","86","99","0.0","0.1","201658","3457","96.8","0.6","6513","1337","3.1","0.6"
"0500000US17089","Kane County, Illinois","183633","1334","(X)","(X)","172564","1988","94.0","0.8","149458","2911","81.4","1.6","6927","1413","3.8","0.8","161409","2483","87.9","1.2","14315","2212","7.8","1.2","124815","2943","68.0","1.6","969","408","0.5","0.2","3915","937","2.1","0.5","155","185","0.1","0.1","11069","1532","6.0","0.8","163626","2444","89.1","1.2","523","411","0.3","0.2","163103","2402","88.8","1.2","151405","2940","82.4","1.5","16321","2249","8.9","1.2","140208","3573","76.4","1.9","14460","2177","7.9","1.2","20007","2242","10.9","1.2","15982","2131","(X)","(X)","396","394","2.5","2.4","10461","1672","65.5","7.0","5125","1390","32.1","7.1","71139","3139","(X)","(X)","50","64","0.1","0.1","59233","3299","83.3","2.7","11856","2010","16.7","2.7","96512","2841","(X)","(X)","77","127","0.1","0.1","93409","2761","96.8","1.0","3026","986","3.1","1.0"
"0500000US18089","Lake County, Indiana","186769","2797","(X)","(X)","165964","3412","88.9","1.3","131048","3367","70.2","1.6","9123","1202","4.9","0.6","151954","3347","81.4","1.5","21627","2319","11.6","1.2","108776","4150","58.2","2.0","2072","595","1.1","0.3","4078","908","2.2","0.5","0","198","0.0","0.1","20805","2565","11.1","1.3","156083","3507","83.6","1.4","334","188","0.2","0.1","155749","3533","83.4","1.4","138711","3560","74.3","1.5","20502","2226","11.0","1.2","126224","3489","67.6","1.6","13905","2018","7.4","1.1","30686","2582","16.4","1.4","30222","2506","(X)","(X)","108","135","0.4","0.4","18162","2014","60.1","4.4","11952","1655","39.5","4.4","87442","3650","(X)","(X)","127","122","0.1","0.1","71839","3889","82.2","2.3","15476","2012","17.7","2.3","69105","3147","(X)","(X)","99","116","0.1","0.2","65748","3048","95.1","1.1","3258","829","4.7","1.2"
"0500000US21059","Daviess County, Kentucky","39590","1165","(X)","(X)","35482","1543","89.6","2.7","27577","1815","69.7","4.1","1628","560","4.1","1.4","32248","1590","81.5","3.2","4985","1214","12.6","3.0","23804","1678","60.1","3.7","504","265","1.3","0.7","1011","497","2.6","1.3","0","197","0.0","0.4","4108","1058","10.4","2.7","34377","1525","86.8","2.9","72","121","0.2","0.3","34305","1529","86.7","3.0","31250","1582","78.9","3.1","4820","946","12.2","2.4","27143","1753","68.6","3.9","2929","733","7.4","1.9","5213","1170","13.2","2.9","6548","985","(X)","(X)","0","197","0.0","2.4","4659","956","71.2","8.8","1889","618","28.8","8.8","20706","1591","(X)","(X)","72","121","0.3","0.6","17824","1486","86.1","4.2","2810","911","13.6","4.1","12336","1278","(X)","(X)","0","197","0.0","1.3","11822","1275","95.8","2.5","514","309","4.2","2.5"
"0500000US21185","Oldham County, Kentucky","21237","722","(X)","(X)","20492","848","96.5","1.6","18294","965","86.1","3.4","461","234","2.2","1.1","19427","901","91.5","2.4","1439","657","6.8","3.1","16221","964","76.4","3.9","88","88","0.4","0.4","797","322","3.8","1.5","46","62","0.2","0.3","745","342","3.5","1.6","19942","888","93.9","2.1","96","112","0.5","0.5","19846","877","93.5","2.0","18659","964","87.9","2.8","1795","671","8.5","3.1","17051","900","80.3","3.6","1755","493","8.3","2.3","1295","438","6.1","2.1","1557","410","(X)","(X)","0","197","0.0","9.8","1290","401","82.9","12.4","267","197","17.1","12.4","6158","833","(X)","(X)","48","82","0.8","1.3","5364","722","87.1","5.5","746","373","12.1","5.4","13522","956","(X)","(X)","48","79","0.4","0.6","13192","952","97.6","1.5","282","193","2.1","1.4"
"0500000US25009","Essex County, Massachusetts","295481","2547","(X)","(X)","272551","3122","92.2","0.6","236058","3585","79.9","1.0","14420","1653","4.9","0.5","245849","3358","83.2","1.0","18461","2460","6.2","0.8","196951","4153","66.7","1.3","4368","1093","1.5","0.4","5561","1142","1.9","0.4","0","211","0.0","0.1","22930","1792","7.8","0.6","259672","3233","87.9","0.9","508","281","0.2","0.1","259164","3231","87.7","0.9","225343","3959","76.3","1.2","18948","1995","6.4","0.7","236124","3450","79.9","1.1","7821","1438","2.6","0.5","35809","2678","12.1","0.9","40955","3018","(X)","(X)","47","81","0.1","0.2","26068","2884","63.7","4.3","14840","1814","36.2","4.2","104350","4140","(X)","(X)","195","197","0.2","0.2","87704","3800","84.0","2.0","16451","2241","15.8","2.0","150176","3966","(X)","(X)","266","228","0.2","0.2","145392","4055","96.8","0.7","4518","982","3.0","0.7"
